Timestamp,What is your age?,Do you have an innie or an outie? ,Have you ever felt insecure about the look of your vulva?,Have you ever felt discomfort while wearing underwear due to the size of your vulva/size of the underwear?,Do you find that some underwear gussets (the crotch) are too small?,Have you ever gotten BV or a yeast infection from wearing underwear that wasn't breathable or was too tight?,"What is the average width of the underwear gussets in your underwear drawer? (measure the width of the crotch of a few pairs, add up all of the numbers, and divide that new number by the total number of pairs you counted)",What is your favorite underwear style?,What is your favorite type of rise?,What styles or colors do you want Cherri to make?,Any other feedback or comments for Cherri?
2021-08-09 21:56:30.032,25 - 32,Outie,No,Yes,Yes,No,,Shortie/Boxer,Highwaisted,Greens! And pastels! ,
2021-08-09 21:58:12.166,18 - 24,Innie,No,No,Yes,Yes,,Cheeky,Highwaisted,ruched maybe??,i <3 u 
2021-08-09 21:58:49.950,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,Patterns!!! Love patterns ,Make more please💘
2021-08-09 21:59:41.239,25 - 32,Innie,Yes,No,Yes,Yes,,Thong,Lowrise,,
2021-08-09 21:59:42.888,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Midrise,green!,much love!!!
2021-08-09 22:03:29.693,25 - 32,Outie,No,No,Yes,No,,Cheeky,Midrise,"Black, baby pink and navy blue ",You’re beautifulll
2021-08-09 22:06:28.899,25 - 32,Innie,No,Yes,Yes,Yes,,Cheeky,Midrise,"Reds, yellows, blues, ALL THE COLORS 💙",When are you coming back in stock? I can’t wait to buy!
2021-08-09 22:07:35.933,25 - 32,Outie,Yes,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-09 22:09:23.988,18 - 24,Innie,Yes,No,Yes,No,,Midrise/Lowrise Bikini,Midrise,,
2021-08-09 22:10:58.847,25 - 32,Innie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,"Black, moss green, lavender ",
2021-08-09 22:16:36.651,18 - 24,Innie,No,Yes,Yes,Yes,,Cheeky,Highwaisted,Something halloween themed or colored! Maybe candy corn colors or little ghosts like the retro floral set etc.,"I dealt with chronic infections every month for a year (one even sent me to the E.R.) and had to switch to all cotton underwear, as well as make many many other life changes to accommodate my temperamental vagina, and your underwear is the comfiest and most breathable I’ve worn. Thank you for speaking so openly about it❤️"
2021-08-09 22:18:48.432,18 - 24,Innie,Yes,Yes,No,No,,Thong,Highwaisted,"Black, more high waisted thongs, ruffle set in any color",
2021-08-09 22:20:43.150,Under 18,Outie,Yes,Yes,Yes,No,,Thong,Lowrise,lots of light pink please,I'd love some simple one-color one-cut options 
2021-08-09 22:24:50.426,25 - 32,Innie,Yes,No,Yes,Yes,,Cheeky,Midrise,Orange!! All shades,
2021-08-09 22:29:19.074,25 - 32,Innie,No,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-09 22:31:13.748,25 - 32,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-09 22:33:02.165,18 - 24,Outie,Yes,Yes,Yes,No,,Brief,Highwaisted,,
2021-08-09 22:38:18.202,25 - 32,Outie,Yes,No,No,Yes,,Cheeky,Midrise,Black,
2021-08-09 22:38:56.015,18 - 24,Outie,Yes,Yes,Yes,No,,Brief,Highwaisted,,
2021-08-09 22:43:30.190,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Midrise,More of the ruffle sets!! Maybe those little eyelet style fabrics,
2021-08-09 22:50:50.281,18 - 24,Innie,Yes,Yes,Yes,No,,Shortie/Boxer,Highwaisted,Teal colors ! I like briefs or boxers ,Love your brand . The bralettes are so comfy. 
2021-08-09 22:54:06.251,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,A skin tone line,
2021-08-09 22:57:30.428,18 - 24,Innie,Yes,No,Yes,Yes,,Brief,Highwaisted,leopard print,
2021-08-09 23:00:26.468,18 - 24,Innie,No,No,Yes,No,,Cheeky,Highwaisted,French cut ,
2021-08-09 23:02:57.622,Under 18,Innie,Yes,Yes,Yes,Yes,,Thong,Midrise,Neutrals!,
2021-08-09 23:06:39.985,18 - 24,Outie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-09 23:15:06.909,40 +,Outie,Yes,Yes,Yes,No,,Shortie/Boxer,Highwaisted,,
2021-08-09 23:27:10.101,18 - 24,Innie,Yes,No,No,No,,Brief,Highwaisted,"Honestly a nice sage or forest green, or possibly lilac and white",Nothing other than I love your brand and I am never disappointed in quality or designs :)
2021-08-09 23:30:09.032,18 - 24,Innie,No,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-09 23:32:32.780,18 - 24,Outie,Yes,No,Yes,Yes,,Cheeky,Midrise,I’d love to see both fun prints as well as some basics!,Thank you for being so inclusive and seeking feedback! I’d love for an xl/1x or 1x/2x size to be available long term! A size for those who are between an xl and 2x 
2021-08-09 23:36:31.251,25 - 32,Innie,Yes,Yes,Yes,Yes,,Shortie/Boxer,Highwaisted,,
2021-08-09 23:54:56.868,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Highwaisted,i think it would be really cool if you collabed with an artist & used their print/design for a fun pattern! in terms of colors i’m a huge fan of lilac/sage green/earth tones ,i can’t get over how comfy everything is!!! 
2021-08-09 23:57:15.080,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,Reds or oranges! And maybe packer friendly undies/penis friendly undies,
2021-08-10 00:03:00.489,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-10 00:10:27.054,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Midrise,Green and nude!,Cheaper Canadian shipping 😭😭
2021-08-10 00:14:14.547,25 - 32,Outie,Yes,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Lowrise,Teal,
2021-08-10 00:30:15.517,25 - 32,Innie,Yes,Yes,Yes,No,,Shortie/Boxer,Highwaisted,Black,
