Shop Cherri LLC Financing Scenario
Agreement Amount: ,"$6,500.00"
Principal Repayment Rate: ,17.0%
Fee Repayment Rate: ,2.89%
Period Start: ,2025-11-17,Period end: ,2025-11-23
Total Sales in Period,"$6,900.76"
Principal Payment (17.0% of retail sales),"$1,173.13"
Fee (2.89% of retail sales),$199.43
""
Store,Purchased At (UTC),Order Id,Line Item Id,SKU,Product,Net Price,Principal Repayment Rate,Principal Payment
shop-cherri.myshopify.com,2025-11-16 10:08:13 UTC,gid://shopify/Order/6230007283748,gid://shopify/LineItem/16242228396068,LRL02203L,"Bikini Brief - M/L / Black Licorice,",$17.91,17.0%,$3.04
shop-cherri.myshopify.com,2025-11-16 14:20:37 UTC,gid://shopify/Order/6230164635684,gid://shopify/LineItem/16242506006564,MTB0214L,"Mid-Rise Thong - L/XL / Black Licorice,",$17.90,17.0%,$3.04
shop-cherri.myshopify.com,2025-11-16 14:20:37 UTC,gid://shopify/Order/6230164635684,gid://shopify/LineItem/16242506039332,MTB0214L,"Mid-Rise Thong - L/XL / Black Licorice,",$17.91,17.0%,$3.04
shop-cherri.myshopify.com,2025-11-16 15:11:57 UTC,gid://shopify/Order/6230209626148,gid://shopify/LineItem/16242590220324,MTB0214R,"Mid-Rise Thong - L/XL / Red Candy Apple,",$17.91,17.0%,$3.04
shop-cherri.myshopify.com,2025-11-16 15:23:41 UTC,gid://shopify/Order/6230220636196,gid://shopify/LineItem/16242611126308,MTB0213R,"Mid-Rise Thong - M/L / Red Candy Apple,",$17.90,17.0%,$3.04
shop-cherri.myshopify.com,2025-11-16 15:23:41 UTC,gid://shopify/Order/6230220636196,gid://shopify/LineItem/16242611159076,MTB0213R,"Mid-Rise Thong - M/L / Red Candy Apple,",$17.91,17.0%,$3.04
shop-cherri.myshopify.com,2025-11-16 16:35:47 UTC,gid://shopify/Order/6230296789028,gid://shopify/LineItem/16242766217252,MTBP0212R,"Mid-Rise Thong - 2X/3X / Red Candy Apple,",$17.91,17.0%,$3.04
shop-cherri.myshopify.com,2025-11-16 17:19:20 UTC,gid://shopify/Order/6230347841572,gid://shopify/LineItem/16242892505124,MTB0213L,"Mid-Rise Thong - M/L / Black Licorice,",$19.01,17.0%,$3.23
shop-cherri.myshopify.com,2025-11-16 17:37:36 UTC,gid://shopify/Order/6230375301156,gid://shopify/LineItem/16242980323364,MTB0213L,"Mid-Rise Thong - M/L / Black Licorice,",$19.01,17.0%,$3.23
shop-cherri.myshopify.com,2025-11-16 19:09:49 UTC,gid://shopify/Order/6230562832420,gid://shopify/LineItem/16243735232548,MTB0213L,"Mid-Rise Thong - M/L / Black Licorice,",$17.91,17.0%,$3.04
shop-cherri.myshopify.com,2025-11-16 19:24:47 UTC,gid://shopify/Order/6230598221860,gid://shopify/LineItem/16243879608356,MTB0214R,"Mid-Rise Thong - L/XL / Red Candy Apple,",$17.90,17.0%,$3.04
shop-cherri.myshopify.com,2025-11-16 19:24:47 UTC,gid://shopify/Order/6230598221860,gid://shopify/LineItem/16243879641124,MTB0214R,"Mid-Rise Thong - L/XL / Red Candy Apple,",$17.91,17.0%,$3.04
shop-cherri.myshopify.com,2025-11-16 19:57:24 UTC,gid://shopify/Order/6230680862756,gid://shopify/LineItem/16244265025572,GST0223R,"G-String - M/L / Red Candy Apple,",$28.00,17.0%,$4.76
shop-cherri.myshopify.com,2025-11-16 19:57:24 UTC,gid://shopify/Order/6230680862756,gid://shopify/LineItem/16244264960036,TIER10,Order Protection - TIER10,$2.55,17.0%,$0.43
shop-cherri.myshopify.com,2025-11-16 19:57:24 UTC,gid://shopify/Order/6230680862756,gid://shopify/LineItem/16244265058340,MTB0213L,"Mid-Rise Thong - M/L / Black Licorice,",$28.00,17.0%,$4.76
shop-cherri.myshopify.com,2025-11-16 19:57:24 UTC,gid://shopify/Order/6230680862756,gid://shopify/LineItem/16244264992804,MTB0211R,"Mid-Rise Thong - XS/S / Red Candy Apple,",$28.00,17.0%,$4.76
shop-cherri.myshopify.com,2025-11-16 22:38:49 UTC,gid://shopify/Order/6231112712228,gid://shopify/LineItem/16246323806244,MTB0212L,"Mid-Rise Thong - S/M / Black Licorice,",$17.91,17.0%,$3.04
shop-cherri.myshopify.com,2025-11-16 23:09:16 UTC,gid://shopify/Order/6231187587108,gid://shopify/LineItem/16246672261156,MTB0213R,"Mid-Rise Thong - M/L / Red Candy Apple,",$17.91,17.0%,$3.04
shop-cherri.myshopify.com,2025-11-17 00:02:32 UTC,gid://shopify/Order/6231295950884,gid://shopify/LineItem/16247134584868,MTB0212R,"Mid-Rise Thong - S/M / Red Candy Apple,",$13.91,17.0%,$2.36
shop-cherri.myshopify.com,2025-11-17 00:02:32 UTC,gid://shopify/Order/6231295950884,gid://shopify/LineItem/16247134552100,MTB0212L,"Mid-Rise Thong - S/M / Black Licorice,",$13.90,17.0%,$2.36
shop-cherri.myshopify.com,2025-11-17 02:30:46 UTC,gid://shopify/Order/6231445438500,gid://shopify/LineItem/16247516561444,LRL02204L,"Bikini Brief - L/XL / Black Licorice,",$19.02,17.0%,$3.23
shop-cherri.myshopify.com,2025-11-17 02:30:46 UTC,gid://shopify/Order/6231445438500,gid://shopify/LineItem/16247516528676,MTB0214L,"Mid-Rise Thong - L/XL / Black Licorice,",$19.01,17.0%,$3.23
shop-cherri.myshopify.com,2025-11-17 06:53:39 UTC,gid://shopify/Order/6231618224164,gid://shopify/LineItem/16247878156324,MTB0214L,"Mid-Rise Thong - L/XL / Black Licorice,",$11.20,17.0%,$1.90
shop-cherri.myshopify.com,2025-11-17 16:33:15 UTC,gid://shopify/Order/6231982669860,gid://shopify/LineItem/16248586305572,MTB0214L,"Mid-Rise Thong - L/XL / Black Licorice,",$11.18,17.0%,$1.90
shop-cherri.myshopify.com,2025-11-17 16:44:36 UTC,gid://shopify/Order/6231996760100,gid://shopify/LineItem/16248620384292,MTB0214L,"Mid-Rise Thong - L/XL / Black Licorice,",$11.20,17.0%,$1.90
shop-cherri.myshopify.com,2025-11-17 16:44:36 UTC,gid://shopify/Order/6231996760100,gid://shopify/LineItem/16248620351524,MTB0214L,"Mid-Rise Thong - L/XL / Black Licorice,",$11.18,17.0%,$1.90
shop-cherri.myshopify.com,2025-11-17 17:19:00 UTC,gid://shopify/Order/6232039194660,gid://shopify/LineItem/16248724160548,MTB0214L,"Mid-Rise Thong - L/XL / Black Licorice,",$18.19,17.0%,$3.09
shop-cherri.myshopify.com,2025-11-17 17:36:57 UTC,gid://shopify/Order/6232063737892,gid://shopify/LineItem/16248799264804,MTBP0212R,"Mid-Rise Thong - 2X/3X / Red Candy Apple,",$25.21,17.0%,$4.29
shop-cherri.myshopify.com,2025-11-17 17:36:57 UTC,gid://shopify/Order/6232063737892,gid://shopify/LineItem/16248799232036,BASE,Order Protection - BASE,$0.88,17.0%,$0.15
shop-cherri.myshopify.com,2025-11-17 17:36:57 UTC,gid://shopify/Order/6232063737892,gid://shopify/LineItem/16248799199268,GSP0222R,"G-String - 2X/3X / Red Candy Apple,",$25.21,17.0%,$4.29
