Shop Cherri LLC Financing Scenario
Agreement Amount: ,"$6,500.00"
Principal Repayment Rate: ,17.0%
Fee Repayment Rate: ,2.89%
Period Start: ,2025-10-27,Period end: ,2025-11-02
Total Sales in Period,"$3,365.89"
Principal Payment (17.0% of retail sales),$572.20
Fee (2.89% of retail sales),$97.27
""
Store,Purchased At (UTC),Order Id,Line Item Id,SKU,Product,Net Price,Principal Repayment Rate,Principal Payment
shop-cherri.myshopify.com,2025-10-26 16:11:18 UTC,gid://shopify/Order/6192582590500,gid://shopify/LineItem/16145332011044,MTBP0213L,"Mid-Rise Thong - 3X/4X / Black Licorice,",$28.00,17.0%,$4.76
shop-cherri.myshopify.com,2025-10-26 17:14:17 UTC,gid://shopify/Order/6192648880164,gid://shopify/LineItem/16145529962532,MTB0214R,"Mid-Rise Thong - L/XL / Red Candy Apple,",$28.00,17.0%,$4.76
shop-cherri.myshopify.com,2025-10-26 17:14:17 UTC,gid://shopify/Order/6192648880164,gid://shopify/LineItem/16145529929764,MTB0214L,"Mid-Rise Thong - L/XL / Black Licorice,",$28.00,17.0%,$4.76
shop-cherri.myshopify.com,2025-10-26 17:30:12 UTC,gid://shopify/Order/6192673062948,gid://shopify/LineItem/16145625251876,MTB0213R,"Mid-Rise Thong - M/L / Red Candy Apple,",$21.00,17.0%,$3.57
shop-cherri.myshopify.com,2025-10-26 19:19:46 UTC,gid://shopify/Order/6192878420004,gid://shopify/LineItem/16146529058852,MTB0213L,"Mid-Rise Thong - M/L / Black Licorice,",$21.00,17.0%,$3.57
shop-cherri.myshopify.com,2025-10-26 20:13:25 UTC,gid://shopify/Order/6192996581412,gid://shopify/LineItem/16147097223204,MTB0212L,"Mid-Rise Thong - S/M / Black Licorice,",$28.00,17.0%,$4.76
shop-cherri.myshopify.com,2025-10-26 20:13:25 UTC,gid://shopify/Order/6192996581412,gid://shopify/LineItem/16147097288740,MTB0212L,"Mid-Rise Thong - S/M / Black Licorice,",$28.00,17.0%,$4.76
shop-cherri.myshopify.com,2025-10-26 20:13:25 UTC,gid://shopify/Order/6192996581412,gid://shopify/LineItem/16147097255972,MTB0212R,"Mid-Rise Thong - S/M / Red Candy Apple,",$28.00,17.0%,$4.76
shop-cherri.myshopify.com,2025-10-26 20:13:25 UTC,gid://shopify/Order/6192996581412,gid://shopify/LineItem/16147097321508,MTB0212R,"Mid-Rise Thong - S/M / Red Candy Apple,",$28.00,17.0%,$4.76
shop-cherri.myshopify.com,2025-10-26 20:39:40 UTC,gid://shopify/Order/6193054449700,gid://shopify/LineItem/16147371261988,MTB0213R,"Mid-Rise Thong - M/L / Red Candy Apple,",$56.00,17.0%,$9.52
