Fee explanation,Unnamed: 1
Name,Explanation
Statement Date,Time of settlement
Statement ID,Statement ID
Payment ID,Payment ID
Status,"Statement status, including pending, processing, paid, and failed."
Currency,USD
Type ,Order/adjustment types
Order/adjustment ID  ,Transaction ID
SKU ID,Transaction SKU ID
Quantity,Quantity
Product name,Product name
SKU name,SKU name
Order created date,Creation time of the order.
Order delivery date,Delivery time of the order.
Total settlement amount,"The total after net sales, fees, adjustments amount are combined."
Gross sales,The total revenue before any discounts from the seller or TikTok Shop have been deducted.
Gross sales refund,The subtotal for refunded SKUs before seller discounts
Seller discount,"Seller discounts are promotions funded by the seller, such as coupons or product discounts"
Seller discount refund,The discount refunded to the seller
Transaction fee,"Transaction Fee is a service fee charged for processing successful orders in TikTok Shop. It is non-refundable, and is charged at $0.3 plus a percentage of the customer paid price per transaction."
Referral fee,The referral fee is an amount charged for each successful order made on TikTok Shop. 
Refund administration fee,Refunds or returns will incur a 20% refund administration fee deduction from the total refunded referral fee amount.
Affiliate Commission,"(Product price (excl. tax) - Seller discount) * Commission rate. If refunds occur after order settlement, affiliate commission will not be refunded."
Affiliate partner commission,"(Product price (excl. tax) - Seller discount) * Affiliate partner commission rate. If refunds occur after order settlement, affiliate partner commission will not be refunded."
Affiliate Shop Ads commission,"(Product price (excl. tax) - Seller discount) * Ads commission rate. If refunds occur after order settlement, affiliate Shop Ads commission will not be refunded."
TikTok Shop Partner commission,"Partner commission = (Product price excluding tax – Seller discount) × Commission rate

TikTok Shop Partner commission is not refundable once it's settled, even if the order is later refunded."
Co-funded promotion (seller-funded),Your portion of the funds combined with platform funds to provide promotions to customers
Smart Promotion fee tax,Sales tax for the Smart Promotion fee
Co-funded creator bonus,The cost of your co-funded bonus for the creator in the campaign you’ve joined. 
Affiliate commission deposit,The amount reserved for creator commissions after an order is paid. Applies only to commissions tied to order volume and is based on the highest earning rate.
Affiliate commission refund,The commission deposit refunded to you after order settlement. Applies only to commissions tied to order volume.
Affiliate Partner shop ads commission,"The advertising commission cost a seller pays to
TikTok Shop Affiliate Partner (TAP)"
Campaign service fee,Fee charged to sellers participating in platform campaigns
Campaign resource fee,Amount of campaign resource fee from program seller joining in
