Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Time period,,,,2025/04/01-2025/06/28
,Timezone,,,,UTC-5
,Currency,,,,USD
,,,,,
,Total settlement amount,,,,8374.11
,,Net sales,,,9023.58
,,,Gross sales,,10040
,,,Gross sales refund,,-702
,,,Seller discount,,-314.42
,,,Seller discount refund,,0
,,Shipping,,,-9.35
,,,TikTok Shop shipping fee,,0
,,,Fulfilled by TikTok Shop shipping fee,,0
,,,Signature confirmation service fee,,0
,,,Shipping insurance fee,,0
,,,Customer-paid shipping fee,,0
,,,Customer-paid shipping fee refund,,0
,,,TikTok Shop shipping incentive,,0
,,,TikTok Shop shipping incentive refund,,0
,,,Shipping fee subsidy,,0
,,,Return shipping fee,,-9.35
,,,FBT fulfillment fee,,0
,,,Customer shipping fee offset,,0
,,,Shipping fee discount,,0
,,,Return shipping label fee,,0
,,,FBT fulfillment fee reimbursement,,0
,,,Return shipping fee (paid by customers),,0
,,,Return shipping fee reimbursement,,0
,,Fees,,,-650.12
,,,Transaction fee,,0
,,,Referral fee,,-540.64
,,,Refund administration fee,,-8.46
,,,Affiliate Commission,,-101.02
,,,Affiliate partner commission,,0
,,,Affiliate Shop Ads commission,,0
,,,TikTok Shop Partner commission,,0
,,,Co-funded promotion (seller-funded),,0
,,,Smart Promotion fee tax,,0
,,,Co-funded creator bonus,,0
,,,Affiliate commission deposit,,0
,,,Affiliate commission refund,,0
,,,Affiliate Partner shop ads commission,,0
,,,Campaign service fee,,0
,,,Campaign resource fee,,0
,,,Sales tax on referral fees,,0
,,,Smart Promotion fee,,0
,,Adjustments,,,10
,,,Logistics adjustment,,0
,,,Logistics reimbursement,,0
,,,Logistics deduction,,0
,,,TikTok Shop reimbursement,,10
,,,Violation fee （settlement fee）,,0
,,,TikTok fees adjustment,,0
,,,Promotion adjustment,,0
,,,Adjustment from settlement account ,,0
,,,Chargeback,,0
,,,Other adjustment,,0
,,,Top up ads balance using GMV payments,,0
,,,FBT warehouse service fee,,0
,,,Co-funded creator activity,,0
,,,Rebate,,0
,,,Violation fee （credit card）,,0
,,,Seller mission reward,,0
,,,Campaign Package,,0
,,,Additional Campaign Package,,0
,,,Bill payment （negative balance）,,0
,,,Activity adjustment,,0
,,,Sales proceed（negative balance）,,0
,,,Bill deduction for negative balance,,0
,,,Campaign resource fee Compensation,,0
,,,FBT warehouse service fee using GMV payments,,0
,,,FBT warehouse compensation,,0
,,Total reserved amount,,,-220.89
,,,Total collected amount,,-673.14
,,,Total released amount,,452.25
