Only reserve details after 2024/09/25 are displayed,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Statement date,Statement ID,Reserve transaction ID,Reserve amount,Status,Associated order ID,Reserve collection time,Expected release time,Payout ID,Payout completion date
2025/09/28,7554807851550607118,3464084816923299953,3,released,577084663111390087,2025/09/04,released,3465084775872172145,2025/09/29
2025/09/28,7554807851550607118,3464083013123215473,2.8,released,577081238819868717,2025/09/04,released,3465084775872172145,2025/09/29
2025/09/28,7554807851550607118,3464073417976287345,1.4,released,577083330523665022,2025/09/04,released,3465084775872172145,2025/09/29
2025/09/27,7554438937624823566,3464047540816810097,1.4,released,577082460978451188,2025/09/03,released,3465048710198628465,2025/09/29
2025/09/27,7554438937624823566,3464043845461708913,3,released,577083271495324536,2025/09/03,released,3465048710198628465,2025/09/29
2025/09/27,7554438937624823566,3464041974509178993,1.4,released,577083082027930450,2025/09/03,released,3465048710198628465,2025/09/29
2025/09/27,7554438937624823566,3464041859107033201,1.4,released,577083083031745362,2025/09/03,released,3465048710198628465,2025/09/29
2025/09/27,7554438937624823566,3464038217520484465,1.4,released,577083728328037187,2025/09/03,released,3465048710198628465,2025/09/29
2025/09/26,7554144951622289165,3464759520297652337,-2.8,collected,577106638589169987,2025/09/25,2025/10/18,3465010982018125937,2025/09/26
2025/09/25,7553696783466071821,3464713795666022513,-5.15,collected,577107266057441293,2025/09/24,2025/10/17,3464965645396643953,2025/09/25
2025/09/23,7553023302780946231,3463919241905934449,1.4,released,577072888502325875,2025/08/30,released,3464898160456798321,2025/09/23
2025/09/22,7552620673928021773,3463879780094742641,1.4,released,577076627542020990,2025/08/29,released,3464864288799625329,2025/09/22
2025/09/21,7552220639571003191,3463842221705826417,22,released,577071133379694832,2025/08/28,released,3464835753123483761,2025/09/22
2025/09/21,7552220639571003191,3463840900903768177,3,released,577075150525665805,2025/08/28,released,3464835753123483761,2025/09/22
2025/09/21,7552220639571003191,3464588001207226481,-1.4,collected,577102432030069261,2025/09/20,2025/10/13,3464835753123483761,2025/09/22
2025/09/20,7551866395957413645,3463807169412370545,2.8,released,577075394872775026,2025/08/27,released,3464802455944597617,2025/09/22
2025/09/19,7551495895133587255,3463783144555974769,1.4,released,577071155183981402,2025/08/26,released,3464769505189990513,2025/09/19
2025/09/19,7551495895133587255,3463776744960266353,1.4,released,577073406131802890,2025/08/26,released,3464769505189990513,2025/09/19
2025/09/18,7550880169108489997,3464487428000485489,-3,collected,577096675085816643,2025/09/17,2025/10/10,3464732736718540913,2025/09/18
2025/09/18,7550880169108489997,3463726490423431281,3.75,released,577070029553832604,2025/08/24,released,3464732736718540913,2025/09/18
2025/09/16,7550326332270380855,3464437327665205361,-3,collected,577095662693356326,2025/09/15,2025/10/08,3464667104959238257,2025/09/16
2025/09/16,7550326332270380855,3463691635593875569,1,released,577072648781402918,2025/08/23,released,3464667104959238257,2025/09/16
2025/09/16,7550326332270380855,3464435087523418225,-1.4,collected,577090864012234801,2025/09/15,2025/10/08,3464667104959238257,2025/09/16
2025/09/16,7550326332270380855,3463685025538871409,3,released,577070744036348779,2025/08/23,released,3464667104959238257,2025/09/16
2025/09/16,7550326332270380855,3463678575436009585,1.4,released,577071212234052187,2025/08/23,released,3464667104959238257,2025/09/16
2025/09/16,7550326332270380855,3463678556529266801,1.4,released,577070984216220265,2025/08/23,released,3464667104959238257,2025/09/16
2025/09/16,7550326332270380855,3463678797464965233,1.4,released,577071151213154907,2025/08/23,released,3464667104959238257,2025/09/16
2025/09/15,7549992270521255735,3463659362381893745,1.4,released,577069415764562064,2025/08/22,released,3464637017435181169,2025/09/15
2025/09/15,7549992270521255735,3463659330621182065,1.4,released,577066631700254995,2025/08/22,released,3464637017435181169,2025/09/15
2025/09/15,7549992270521255735,3463653166607208561,1.4,released,577071174590697582,2025/08/22,released,3464637017435181169,2025/09/15
2025/09/15,7549992270521255735,3463651077218734193,3,released,577071030508557094,2025/08/22,released,3464637017435181169,2025/09/15
2025/09/15,7549992270521255735,3463649353336066161,2.8,released,577070284431659994,2025/08/22,released,3464637017435181169,2025/09/15
2025/09/14,7549634318793819918,3463618145523765361,1.4,released,577069469862171288,2025/08/21,released,3464602066898161777,2025/09/15
2025/09/14,7549634318793819918,3463616430345916529,1.4,released,577070667151741836,2025/08/21,released,3464602066898161777,2025/09/15
2025/09/12,7548975144727775031,3464316001768935537,-1.4,collected,577092993356959853,2025/09/11,2025/10/04,3464538537580007537,2025/09/12
2025/09/11,7548598959897102094,3463527987896815729,3,released,577065929923465753,2025/08/18,released,3464511732658573425,2025/09/11
2025/09/09,7547777126695552782,3463463758834602097,2.8,released,577063260370670051,2025/08/16,released,3464447753690779761,2025/09/09
2025/09/09,7547777126695552782,3463462080433721457,2,released,577063427288568113,2025/08/16,released,3464447753690779761,2025/09/09
2025/09/08,7547411893481178893,3463437138230349937,1.4,released,577063400276005623,2025/08/15,released,3464415405524291697,2025/09/08
2025/09/08,7547411893481178893,3463431720938934385,1.4,released,577063516897776247,2025/08/15,released,3464415405524291697,2025/09/08
2025/09/07,7547002831669118734,3463395541642416241,3.8,released,577060924982661537,2025/08/14,released,3464393075347394673,2025/09/08
2025/09/06,7546642140344911630,3463376522045329521,1.4,released,577058733268898120,2025/08/13,released,3464353147809796209,2025/09/08
2025/09/06,7546642140344911630,3464108340129009777,-1,collected,577080244398166997,2025/09/05,2025/09/28,3464353147809796209,2025/09/08
2025/09/05,7546265202975835918,3464084816923299953,-3,collected,577084663111390087,2025/09/04,2025/09/27,3464326804310954097,2025/09/05
2025/09/05,7546265202975835918,3464083013123215473,-2.8,collected,577081238819868717,2025/09/04,2025/09/27,3464326804310954097,2025/09/05
2025/09/05,7546265202975835918,3464073417976287345,-1.4,collected,577083330523665022,2025/09/04,2025/09/27,3464326804310954097,2025/09/05
