Payment initiation date,Payment ID,Payment amount,Payment completion date,Status,Bank account,Notes
2025/12/26,3468574218971943025,102.8,2025/12/26,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3468574218971943025"
2025/12/25,3468523357509488753,84.7,2025/12/26,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3468523357509488753"
2025/12/24,3468488440296935537,199.26,2025/12/24,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3468488440296935537"
2025/12/23,3468449692472479857,18.41,2025/12/23,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3468449692472479857"
2025/12/22,3468407246623903857,29.46,2025/12/22,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3468407246623903857"
2025/12/21,3468364193875398769,92.06,2025/12/23,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3468364193875398769"
2025/12/20,3468334208018518129,289.78,2025/12/22,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3468334208018518129"
2025/12/19,3468290935440314481,151.27,2025/12/22,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3468290935440314481"
2025/12/18,3468249987877081201,223.32,2025/12/18,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3468249987877081201"
2025/12/17,3468210558146809969,458.16,2025/12/18,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3468210558146809969"
2025/12/16,3468166070369489009,539.52,2025/12/17,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3468166070369489009"
2025/12/16,3468130673951150193,1175.73,2025/12/16,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3468130673951150193"
2025/12/14,3468077188888957041,738.61,2025/12/15,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3468077188888957041"
2025/12/13,3468039403545268337,717.01,2025/12/15,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3468039403545268337"
2025/12/12,3467991303123800177,902.85,2025/12/12,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467991303123800177"
2025/12/11,3467940782857293937,990.96,2025/12/11,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467940782857293937"
2025/12/10,3467898478081839217,1066.83,2025/12/11,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467898478081839217"
2025/12/09,3467845806389956721,668.79,2025/12/09,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3467845806389956721"
