Only reserve details after 2024/09/25 are displayed,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Statement date,Statement ID,Reserve transaction ID,Reserve amount,Status,Associated order ID,Reserve collection time,Expected release time,Payout ID,Payout completion date
2025/12/02,7578676178744444685,3466388989147517041,4.48,released,577162137859232326,2025/11/05,released,3467499399855116401,2025/12/02
2025/12/02,7578676178744444685,3466386485793362033,2.38,released,577159252759974433,2025/11/05,released,3467499399855116401,2025/12/02
2025/12/02,7578676178744444685,3466386225535029361,4.76,released,577159504450326644,2025/11/05,released,3467499399855116401,2025/12/02
2025/12/02,7578676178744444685,3466384657770451057,4.48,released,577159246975963753,2025/11/05,released,3467499399855116401,2025/12/02
2025/12/02,7578676178744444685,3466384348337246321,4.76,released,577161137072149022,2025/11/05,released,3467499399855116401,2025/12/02
2025/12/02,7578676178744444685,3466383468841767025,2.24,released,577161109596311565,2025/11/08,released,3467499399855116401,2025/12/02
2025/12/02,7578676178744444685,3466378023670288497,2.8,released,577156526311182596,2025/11/08,released,3467499399855116401,2025/12/02
2025/12/02,7578676178744444685,3466377404861681777,9.28,released,577161546040971277,2025/11/08,released,3467499399855116401,2025/12/02
2025/12/02,7578676178744444685,3466377818796560497,6.72,released,577159019832905962,2025/11/08,released,3467499399855116401,2025/12/02
2025/12/02,7578676178744444685,3466377285689380977,4.48,released,577158766750700164,2025/11/08,released,3467499399855116401,2025/12/02
2025/12/02,7578676178744444685,3466360461183062129,2.1,released,577155113129710139,2025/11/07,released,3467499399855116401,2025/12/02
2025/12/01,7578312449548683022,3466359446250033265,2.8,released,577155981181161948,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466357885114683505,4.9,released,577156272615231959,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466357007555596401,2.1,released,577156292153414472,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466356134154899569,2.24,released,577160169894679287,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466354172842512497,8.4,released,577155501065999327,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466353049574215793,2.8,released,577157229711495721,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466353385662484593,2.34,released,577159334908236002,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466351564263231601,2.1,released,577154879992533041,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466351323695911025,2.1,released,577154880502665265,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466350081287819377,4.9,released,577155748129444108,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466349798899093617,2.46,released,577159517126628026,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466348288721326193,4.48,released,577159452479885850,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466347139495202929,2.1,released,577154807254389250,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466347448319185009,2.1,released,577155474877157840,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466344764534788209,2.38,released,577159431188288118,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466345615092715633,2.34,released,577158586784190625,2025/11/07,released,3467458523733463153,2025/12/01
2025/12/01,7578312449548683022,3466341693002846321,4.84,released,577159186901275195,2025/11/07,released,3467458523733463153,2025/12/01
2025/11/30,7577982130656167693,3466318590093987953,4.93,released,577155864064266413,2025/11/06,released,3467422260615614577,2025/12/01
2025/11/30,7577982130656167693,3466318872723492977,2.24,released,577157879376286301,2025/11/06,released,3467422260615614577,2025/12/01
2025/11/30,7577982130656167693,3466315825212330097,2.8,released,577151569978757587,2025/11/06,released,3467422260615614577,2025/12/01
2025/11/30,7577982130656167693,3466314718449340529,4.76,released,577157909400031409,2025/11/06,released,3467422260615614577,2025/12/01
2025/11/30,7577982130656167693,3466314355312463985,2.1,released,577154966471807190,2025/11/06,released,3467422260615614577,2025/12/01
2025/11/30,7577982130656167693,3466310080326766705,5.6,released,577156591870972414,2025/11/06,released,3467422260615614577,2025/12/01
2025/11/30,7577982130656167693,3466308655516258417,2.1,released,577157351335367224,2025/11/06,released,3467422260615614577,2025/12/01
2025/11/30,7577982130656167693,3466307864876781681,2.24,released,577158032993194093,2025/11/06,released,3467422260615614577,2025/12/01
2025/11/30,7577982130656167693,3466307225523294321,2.8,released,577155476609864218,2025/11/06,released,3467422260615614577,2025/12/01
2025/11/30,7577982130656167693,3466302587289047153,2.1,released,577155405921620951,2025/11/06,released,3467422260615614577,2025/12/01
2025/11/30,7577982130656167693,3466300348059586673,4.76,released,577158048905073303,2025/11/06,released,3467422260615614577,2025/12/01
2025/11/29,7577625492111722254,3466278596200730737,2.1,released,577155403895968050,2025/11/05,released,3467377535299588209,2025/12/01
2025/11/29,7577625492111722254,3466279339100311665,2.1,released,577156719881195774,2025/11/05,released,3467377535299588209,2025/12/01
2025/11/29,7577625492111722254,3466277907637768305,2.8,released,577156905951531722,2025/11/05,released,3467377535299588209,2025/12/01
2025/11/29,7577625492111722254,3466273935723892849,2,released,577156232347750854,2025/11/05,released,3467377535299588209,2025/12/01
2025/11/29,7577625492111722254,3466272333820104817,5.6,released,577154246732518020,2025/11/05,released,3467377535299588209,2025/12/01
2025/11/29,7577625492111722254,3466271487817584753,8.4,released,577152181766295957,2025/11/05,released,3467377535299588209,2025/12/01
2025/11/29,7577625492111722254,3466269469917810801,2.1,released,577156053940473899,2025/11/05,released,3467377535299588209,2025/12/01
2025/11/29,7577625492111722254,3466269948648001649,4.9,released,577154961633874538,2025/11/05,released,3467377535299588209,2025/12/01
2025/11/29,7577625492111722254,3466269233952297073,2.1,released,577157248080384665,2025/11/05,released,3467377535299588209,2025/12/01
2025/11/29,7577625492111722254,3466266694975197297,2.1,released,577155250876878970,2025/11/05,released,3467377535299588209,2025/12/01
2025/11/29,7577625492111722254,3466264757033537649,2.8,released,577155359055319331,2025/11/05,released,3467377535299588209,2025/12/01
