Statement date,Statement ID,Payment ID,Status,Total settlement amount,Net sales,Shipping,Fees,Adjustments,Reserve Amount,Payable amount
2025/12/27,7588189993496004365,3468574218971943025,Paid,102.8,109.76,0.0,-6.96,0,0.0,102.8
2025/12/26,7587877371018004279,3468523357509488753,Paid,84.7,90.11,0.0,-5.41,0,0.0,84.7
2025/12/25,7587458027469489933,3468488440296935537,Paid,199.26,212.81,0.0,-13.55,0,0.0,199.26
2025/12/24,7587152422049498894,3468449692472479857,Paid,18.41,19.59,0.0,-1.18,0,0.0,18.41
2025/12/23,7586798166844458765,3468407246623903857,Paid,29.46,31.34,0.0,-1.88,0,0.0,29.46
2025/12/22,7586373459391973133,3468364193875398769,Paid,92.06,97.95,0.0,-5.89,0,0.0,92.06
2025/12/21,7585732903603111694,3468334208018518129,Paid,289.78,308.5,0.0,-18.72,0,0.0,289.78
2025/12/20,7585657669332043575,3468290935440314481,Paid,151.27,155.62,5.3,-9.65,0,0.0,151.27
2025/12/19,7585056040616183565,3468249987877081201,Paid,223.32,239.53,0.0,-16.21,0,0.0,223.32
2025/12/18,7584638553938953998,3468210558146809969,Paid,458.16,491.74,-3.68,-29.9,0,0.0,458.16
2025/12/17,7584258146185545486,3468166070369489009,Paid,539.52,574.88,0.0,-35.36,0,0.0,539.52
2025/12/16,7584109208325375799,3468130673951150193,Paid,1175.73,1252.84,0.0,-77.11,0,0.0,1175.73
2025/12/15,7583524550282053431,3468077188888957041,Paid,738.61,787.0,0.0,-48.39,0,0.0,738.61
2025/12/14,7583375573221672759,3468039403545268337,Paid,717.01,764.56,0.0,-47.55,0,0.0,717.01
2025/12/13,7582755744437585677,3467991303123800177,Paid,902.85,962.76,0.0,-59.91,0,0.0,902.85
2025/12/12,7582384180119258894,3467940782857293937,Paid,990.96,1062.04,-2.07,-69.01,0,0.0,990.96
2025/12/11,7582013094404704013,3467898478081839217,Paid,1066.83,1137.38,0.0,-70.55,0,0.0,1066.83
2025/12/10,7581643474282268429,3467845806389956721,Paid,668.79,713.29,0.0,-44.5,0,0.0,668.79
2025/12/07,7581326952875771661,3467753505484935281,Paid,-80.0,0.0,0.0,0.0,-80,0.0,-80.0
2025/12/07,7581314037401536270,3467753505484935281,Paid,-53.0,0.0,0.0,0.0,-53,0.0,-53.0
2025/12/09,7581272499380356878,3467794620808138865,Paid,193.64,206.6,0.0,-12.96,0,0.0,193.64
2025/12/06,7580917459327125261,3467717541247619185,Paid,-53.0,0.0,0.0,0.0,-53,0.0,-53.0
2025/12/08,7580902120984168205,3467753505484935281,Paid,570.04,625.23,0.0,-55.19,0,0.0,570.04
2025/12/07,7580530681551030030,3467717541247619185,Paid,414.93,443.56,0.0,-28.63,0,0.0,414.93
2025/12/06,7580395642959234830,3467671722544500849,Paid,36.85,39.2,0.0,-2.35,0,0.0,36.85
2025/12/05,7579790517582464781,3467622538905161841,Paid,565.37,607.9,0.0,-42.53,0,0.0,565.37
2025/12/02,7579461254419351309,3467540527276724337,Paid,-55.0,0.0,0.0,0.0,-55,0.0,-55.0
2025/12/04,7579422463625283342,3467578340637839473,Paid,603.41,648.79,0.0,-45.38,0,0.0,603.41
2025/12/03,7579272665400133389,3467540527276724337,Paid,265.95,285.96,0.0,-20.01,0,0.0,265.95
2025/12/01,7578770910862133005,/,Pending,-69.0,0.0,0.0,0.0,-69,0.0,-69.0
2025/12/01,7578752600577804046,/,Pending,-60.0,0.0,0.0,0.0,-60,0.0,-60.0
2025/11/30,7593190962132338445,/,Pending,-48.0,0.0,0.0,0.0,-48,0.0,-48.0
2025/11/30,7593190936806409998,/,Pending,-48.0,0.0,0.0,0.0,-48,0.0,-48.0
2025/11/30,7593190936792860471,/,Pending,-48.0,0.0,0.0,0.0,-48,0.0,-48.0
2025/11/30,7578738812906587959,/,Pending,-48.0,0.0,0.0,0.0,-48,0.0,-48.0
2025/12/02,7578676178744444685,3467499399855116401,Paid,132.65,142.63,0.0,-9.98,0,48.48,181.13
2025/11/29,7578361112601626381,3467422260615614577,Paid,-48.0,0.0,0.0,0.0,-48,0.0,-48.0
2025/11/29,7578360136352286519,3467422260615614577,Paid,-48.0,0.0,0.0,0.0,-48,0.0,-48.0
2025/11/29,7578359035880834830,3467422260615614577,Paid,-48.0,0.0,0.0,0.0,-48,0.0,-48.0
2025/11/29,7578358057562916621,3467422260615614577,Paid,-48.0,0.0,0.0,0.0,-48,0.0,-48.0
2025/11/29,7578356990334846775,3467422260615614577,Paid,-56.0,0.0,0.0,0.0,-56,0.0,-56.0
2025/11/29,7578355742239917837,3467422260615614577,Paid,-69.0,0.0,0.0,0.0,-69,0.0,-69.0
2025/11/29,7578353637878761271,3467422260615614577,Paid,-70.0,0.0,0.0,0.0,-70,0.0,-70.0
2025/11/29,7578351634003035959,3467422260615614577,Paid,-70.0,0.0,0.0,0.0,-70,0.0,-70.0
2025/11/29,7578348659827181325,3467422260615614577,Paid,-48.0,0.0,0.0,0.0,-48,0.0,-48.0
2025/12/01,7578312449548683022,3467458523733463153,Paid,547.29,588.46,0.0,-41.17,0,55.38,602.67
2025/11/29,7578014481159177998,3467377535299588209,Paid,-47.0,0.0,0.0,0.0,-47,0.0,-47.0
2025/11/28,7578003226621183757,3467377535299588209,Paid,-47.0,0.0,0.0,0.0,-47,0.0,-47.0
2025/11/28,7577991361626949389,3467377535299588209,Paid,-47.0,0.0,0.0,0.0,-47,0.0,-47.0
2025/11/30,7577982130656167693,3467422260615614577,Paid,506.07,551.85,0.0,-45.78,0,36.43,542.5
2025/11/27,7577601678698891022,3467319638153531505,Paid,-43.0,0.0,0.0,0.0,-43,0.0,-43.0
