order_name,created_at,financial_status,fulfillment_status,total,subtotal,shipping,tax,refunded,discounts
"#14038","2025-01-01T16:40:32Z","PAID","FULFILLED","32.79","0","0","0","0","0"
"#14039","2025-01-01T22:31:03Z","PAID","FULFILLED","107.0","0","0","0","0","0"
"#14040","2025-01-01T22:42:28Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14041","2025-01-02T01:21:22Z","PAID","FULFILLED","37.99","0","0","0","0","0"
"#14042","2025-01-02T01:36:24Z","PAID","FULFILLED","41.54","0","0","0","0","0"
"#14043","2025-01-02T08:23:23Z","PAID","FULFILLED","36.99","0","0","0","0","0"
"#14044","2025-01-02T14:00:57Z","PAID","FULFILLED","95.2","0","0","0","0","0"
"#14045","2025-01-02T19:38:27Z","PAID","FULFILLED","107.0","0","0","0","0","0"
"#14046","2025-01-02T19:38:46Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14047","2025-01-02T19:41:23Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14048","2025-01-02T20:55:19Z","PAID","FULFILLED","32.79","0","0","0","0","0"
"#14049","2025-01-04T01:53:50Z","PAID","FULFILLED","67.54","0","0","0","0","0"
"#14050","2025-01-04T12:30:59Z","PAID","FULFILLED","114.75","0","0","0","0","0"
"#14051","2025-01-04T16:31:31Z","PAID","FULFILLED","111.15","0","0","0","0","0"
"#14052","2025-01-04T20:48:42Z","PAID","FULFILLED","73.78","0","0","0","0","0"
"#14053","2025-01-04T22:01:11Z","PAID","FULFILLED","108.84","0","0","0","0","0"
"#14054","2025-01-05T01:54:45Z","PAID","FULFILLED","33.62","0","0","0","0","0"
"#14055","2025-01-05T02:25:52Z","PAID","FULFILLED","107.0","0","0","0","0","0"
"#14056","2025-01-05T15:41:24Z","PAID","FULFILLED","143.7","0","0","0","0","0"
"#14057","2025-01-05T19:28:47Z","PAID","FULFILLED","82.35","0","0","0","0","0"
"#14058","2025-01-05T19:36:29Z","PAID","FULFILLED","66.74","0","0","0","0","0"
"#14059","2025-01-05T20:43:50Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14060","2025-01-05T20:48:11Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14061","2025-01-06T03:08:25Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14062","2025-01-06T06:14:51Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14063","2025-01-06T11:17:37Z","PAID","FULFILLED","120.65","0","0","0","0","0"
"#14064","2025-01-06T15:35:13Z","PAID","FULFILLED","87.99","0","0","0","0","0"
"#14065","2025-01-06T17:12:56Z","PAID","FULFILLED","50.99","0","0","0","0","0"
"#14066","2025-01-06T17:55:46Z","PAID","FULFILLED","84.0","0","0","0","0","0"
"#14067","2025-01-06T21:14:10Z","PAID","FULFILLED","88.34","0","0","0","0","0"
"#14068","2025-01-06T23:16:40Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14069","2025-01-07T00:26:15Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14070","2025-01-07T04:14:52Z","PAID","FULFILLED","22.52","0","0","0","0","0"
"#14071","2025-01-07T17:58:26Z","PAID","FULFILLED","142.55","0","0","0","0","0"
"#14072","2025-01-08T13:03:57Z","PAID","FULFILLED","50.82","0","0","0","0","0"
"#14073","2025-01-08T17:29:55Z","PAID","FULFILLED","173.0","0","0","0","0","0"
"#14074","2025-01-08T19:01:05Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14075","2025-01-08T21:28:20Z","PAID","FULFILLED","38.74","0","0","0","0","0"
"#14076","2025-01-09T03:48:16Z","PAID","FULFILLED","81.55","0","0","0","0","0"
"#14077","2025-01-09T18:14:14Z","PAID","FULFILLED","39.14","0","0","0","0","0"
"#14078","2025-01-09T19:03:34Z","PAID","FULFILLED","66.74","0","0","0","0","0"
"#14079","2025-01-09T23:19:53Z","PAID","FULFILLED","38.34","0","0","0","0","0"
"#14080","2025-01-10T02:13:34Z","PAID","FULFILLED","124.55","0","0","0","0","0"
"#14081","2025-01-10T05:09:09Z","PAID","FULFILLED","118.15","0","0","0","0","0"
"#14082","2025-01-10T09:47:57Z","PAID","FULFILLED","81.35","0","0","0","0","0"
"#14083","2025-01-10T14:50:31Z","PAID","FULFILLED","162.75","0","0","0","0","0"
"#14084","2025-01-11T03:24:04Z","PAID","FULFILLED","66.74","0","0","0","0","0"
"#14085","2025-01-11T08:49:29Z","PAID","FULFILLED","81.55","0","0","0","0","0"
"#14086","2025-01-11T15:35:32Z","PAID","FULFILLED","32.79","0","0","0","0","0"
"#14087","2025-01-11T19:28:06Z","PAID","FULFILLED","38.97","0","0","0","0","0"
"#14088","2025-01-11T21:30:22Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14089","2025-01-12T00:59:52Z","PAID","FULFILLED","38.97","0","0","0","0","0"
"#14090","2025-01-12T03:45:48Z","PAID","FULFILLED","110.15","0","0","0","0","0"
"#14091","2025-01-12T04:29:06Z","PAID","FULFILLED","133.0","0","0","0","0","0"
"#14092","2025-01-12T07:59:17Z","PAID","FULFILLED","76.99","0","0","0","0","0"
"#14093","2025-01-12T13:48:19Z","PAID","FULFILLED","38.97","0","0","0","0","0"
"#14094","2025-01-12T14:37:14Z","PAID","FULFILLED","76.14","0","0","0","0","0"
"#14095","2025-01-12T17:53:06Z","PAID","FULFILLED","89.9","0","0","0","0","0"
"#14096","2025-01-12T19:27:23Z","PAID","FULFILLED","33.62","0","0","0","0","0"
"#14097","2025-01-12T22:53:06Z","PAID","FULFILLED","110.15","0","0","0","0","0"
"#14098","2025-01-13T01:35:33Z","PAID","FULFILLED","33.62","0","0","0","0","0"
"#14099","2025-01-13T01:58:21Z","PAID","FULFILLED","78.13","0","0","0","0","0"
"#14100","2025-01-13T03:19:19Z","PAID","FULFILLED","37.99","0","0","0","0","0"
"#14101","2025-01-13T05:28:49Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14102","2025-01-13T06:20:08Z","PAID","FULFILLED","113.0","0","0","0","0","0"
"#14103","2025-01-13T13:15:14Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14104","2025-01-13T15:36:17Z","PAID","FULFILLED","80.05","0","0","0","0","0"
"#14105","2025-01-13T17:25:38Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14106","2025-01-13T20:42:00Z","PAID","FULFILLED","87.99","0","0","0","0","0"
"#14107","2025-01-14T03:15:25Z","PAID","FULFILLED","84.0","0","0","0","0","0"
"#14108","2025-01-14T03:17:13Z","PAID","FULFILLED","38.74","0","0","0","0","0"
"#14109","2025-01-14T03:25:47Z","PAID","FULFILLED","66.74","0","0","0","0","0"
"#14110","2025-01-14T04:12:22Z","PAID","FULFILLED","87.99","0","0","0","0","0"
"#14111","2025-01-14T06:09:04Z","PAID","FULFILLED","86.55","0","0","0","0","0"
"#14112","2025-01-14T06:12:50Z","PAID","FULFILLED","25.86","0","0","0","0","0"
"#14113","2025-01-14T06:24:11Z","PAID","FULFILLED","182.26","0","0","0","0","0"
"#14114","2025-01-14T06:35:48Z","PAID","FULFILLED","37.97","0","0","0","0","0"
"#14115","2025-01-14T06:38:24Z","PAID","FULFILLED","35.36","0","0","0","0","0"
"#14116","2025-01-14T07:04:34Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14117","2025-01-14T07:16:16Z","PAID","FULFILLED","23.8","0","0","0","0","0"
"#14118","2025-01-14T07:16:53Z","PAID","FULFILLED","86.55","0","0","0","0","0"
"#14119","2025-01-14T07:17:25Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14120","2025-01-14T07:17:37Z","PAID","FULFILLED","66.74","0","0","0","0","0"
"#14121","2025-01-14T07:24:00Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14122","2025-01-14T07:26:03Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14123","2025-01-14T07:30:13Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14124","2025-01-14T07:31:56Z","PAID","FULFILLED","36.99","0","0","0","0","0"
"#14125","2025-01-14T07:33:33Z","PAID","FULFILLED","77.11","0","0","0","0","0"
"#14126","2025-01-14T07:34:00Z","PAID","FULFILLED","0.0","0","0","0","0","0"
"#14127","2025-01-14T07:43:43Z","PAID","FULFILLED","26.01","0","0","0","0","0"
