Transaction Date,Type,Order,Card Brand,Card Source,Payout Status,Payout Date,Payout ID,Available On,Amount,Fee,Net,Checkout,Payment Method Name,Presentment Amount,Presentment Currency,Currency
2026-01-27 21:07:15 -0500,charge,#17779,visa,online,pending,2026-01-30,,2026-01-30,86.55,2.55,84.00,#45967304851492,card,86.55,USD,USD
2026-01-27 10:26:52 -0500,refund,#17757,visa,online,in_transit,2026-01-29,105852010532,2026-01-27,-2.15,0.00,-2.15,#45933242023972,card,2.15,USD,USD
2026-01-26 21:55:14 -0500,charge,#17778,master,online,in_transit,2026-01-29,105852010532,2026-01-29,29.97,1.08,28.89,#45944932696100,card,29.97,USD,USD
2026-01-26 13:26:23 -0500,charge,#17777,master,online,paid,2026-01-28,105820586020,2026-01-28,60.54,1.87,58.67,#45961823551524,card,60.54,USD,USD
2026-01-25 16:50:23 -0500,charge,#17776,visa,online,paid,2026-01-27,105795092516,2026-01-27,20.03,0.82,19.21,#45958597541924,card,20.03,USD,USD
2026-01-25 00:49:44 -0500,charge,#17775,master,online,paid,2026-01-27,105795092516,2026-01-27,58.34,1.82,56.52,#45956091576356,card,58.34,USD,USD
2026-01-24 13:50:17 -0500,charge,#17774,visa,online,paid,2026-01-27,105795092516,2026-01-27,78.99,2.35,76.64,#45954316697636,card,78.99,USD,USD
2026-01-24 08:03:44 -0500,charge,#17772,american_express,online,paid,2026-01-27,105795092516,2026-01-27,73.94,2.96,70.98,#45953323106340,card,73.94,USD,USD
2026-01-24 02:14:56 -0500,charge,#17771,visa,online,paid,2026-01-27,105795092516,2026-01-27,81.14,2.41,78.73,#45950755340324,card,81.14,USD,USD
2026-01-21 20:43:36 -0500,charge,#17762,american_express,online,paid,2026-01-26,105762619428,2026-01-26,59.39,2.44,56.95,#45941066858532,card,59.39,USD,USD
2026-01-19 12:08:49 -0500,charge,#17758,visa,online,paid,2026-01-21,105662251044,2026-01-21,32.99,1.16,31.83,#45936280633380,card,32.99,USD,USD
2026-01-18 14:06:32 -0500,charge,#17757,visa,online,paid,2026-01-21,105662251044,2026-01-21,144.30,4.05,140.25,#45933242023972,card,144.30,USD,USD
2026-01-18 09:59:53 -0500,charge,#17755,visa,online,paid,2026-01-21,105662251044,2026-01-21,81.14,2.41,78.73,#45932571099172,card,81.14,USD,USD
2026-01-17 21:57:48 -0500,charge,#17754,visa,online,paid,2026-01-21,105662251044,2026-01-21,10.89,0.58,10.31,#45931317493796,card,10.89,USD,USD
2026-01-17 19:17:14 -0500,charge,#17752,visa,online,paid,2026-01-21,105662251044,2026-01-21,78.99,2.35,76.64,#45930913005604,card,78.99,USD,USD
2026-01-17 10:32:59 -0500,charge,#17750,discover,online,paid,2026-01-21,105662251044,2026-01-21,81.74,2.43,79.31,#45928982609956,card,81.74,USD,USD
2026-01-17 08:29:46 -0500,charge,#17748,visa,online,paid,2026-01-21,105662251044,2026-01-21,29.39,1.06,28.33,#45928721252388,card,29.39,USD,USD
2026-01-16 23:47:56 -0500,charge,#17747,master,online,paid,2026-01-21,105662251044,2026-01-21,32.99,1.16,31.83,#45927915520036,card,32.99,USD,USD
2026-01-16 13:14:18 -0500,charge,#17746,master,online,paid,2026-01-21,105662251044,2026-01-21,81.14,2.41,78.73,#45926241271844,card,81.14,USD,USD
2026-01-15 19:38:58 -0500,charge,#17745,visa,online,paid,2026-01-21,105662251044,2026-01-21,81.14,2.41,78.73,#45924147396644,card,81.14,USD,USD
2026-01-15 09:27:58 -0500,charge,#17743,visa,online,paid,2026-01-20,105636528164,2026-01-20,56.99,1.78,55.21,#45922676211748,card,56.99,USD,USD
2026-01-14 22:52:09 -0500,charge,#17741,visa,online,paid,2026-01-20,105636528164,2026-01-20,81.74,2.43,79.31,#45921255817252,card,81.74,USD,USD
2026-01-14 14:50:12 -0500,charge,#17740,american_express,online,paid,2026-01-16,105584197668,2026-01-16,33.97,1.52,32.45,#45920230703140,card,33.97,USD,USD
2026-01-14 12:39:26 -0500,charge,#17739,master,online,paid,2026-01-16,105584197668,2026-01-16,83.14,2.46,80.68,#45919867535396,card,83.14,USD,USD
2026-01-14 11:44:01 -0500,charge,#17738,master,online,paid,2026-01-16,105584197668,2026-01-16,29.39,1.06,28.33,#45919709593636,card,29.39,USD,USD
2026-01-14 00:24:29 -0500,charge,#17736,visa,online,paid,2026-01-16,105584197668,2026-01-16,92.34,4.02,88.32,#45918171070500,card,128.26,CAD,USD
2026-01-13 20:20:22 -0500,charge,#17734,master,online,paid,2026-01-16,105584197668,2026-01-16,33.08,1.96,31.12,#45917762945060,card,45.96,CAD,USD
2026-01-13 07:01:27 -0500,charge,#17732,master,online,paid,2026-01-15,105558310948,2026-01-15,103.38,5.50,97.88,#45915436285988,card,88.59,EUR,USD
2026-01-13 00:59:45 -0500,refund,#17731,visa,online,paid,2026-01-15,105558310948,2026-01-15,-2.15,0.00,-2.15,#45914554433572,shop_pay_installments,2.15,USD,USD
2026-01-13 00:59:36 -0500,charge,#17731,visa,online,paid,2026-01-15,105558310948,2026-01-15,144.30,8.81,135.49,#45914554433572,shop_pay_installments,144.30,USD,USD
2026-01-12 15:35:41 -0500,charge,#17729,visa,online,paid,2026-01-14,105526263844,2026-01-14,58.34,1.82,56.52,#45912966889508,card,58.34,USD,USD
2026-01-12 07:39:53 -0500,charge,#17726,master,online,paid,2026-01-14,105526263844,2026-01-14,70.32,2.13,68.19,#45911493181476,card,70.32,USD,USD
2026-01-11 17:07:37 -0500,charge,#17724,visa,online,paid,2026-01-13,105495756836,2026-01-13,81.14,2.41,78.73,#45867518689316,card,81.14,USD,USD
2026-01-11 16:27:09 -0500,charge,#17723,discover,online,paid,2026-01-13,105495756836,2026-01-13,81.14,2.41,78.73,#45908904509476,card,81.14,USD,USD
2026-01-11 02:20:30 -0500,charge,#17721,visa,online,paid,2026-01-13,105495756836,2026-01-13,58.34,2.40,55.94,#45905602969636,card,58.34,USD,USD
2026-01-10 22:31:51 -0500,charge,#17719,visa,online,paid,2026-01-13,105495756836,2026-01-13,33.97,1.18,32.79,#45904836526116,card,33.97,USD,USD
2026-01-10 19:22:37 -0500,charge,#17718,visa,online,paid,2026-01-13,105495756836,2026-01-13,33.97,1.18,32.79,#45904019882020,card,33.97,USD,USD
2026-01-10 14:06:41 -0500,charge,#17716,master,online,paid,2026-01-13,105495756836,2026-01-13,98.95,2.87,96.08,#45902261518372,card,98.95,USD,USD
2026-01-10 02:45:03 -0500,charge,#17714,american_express,online,paid,2026-01-13,105495756836,2026-01-13,94.00,3.68,90.32,#45899976179748,card,94.00,USD,USD
2026-01-08 20:01:43 -0500,charge,#17713,visa,online,paid,2026-01-13,105495756836,2026-01-13,81.14,2.41,78.73,#45894735921188,card,81.14,USD,USD
2026-01-07 11:06:06 -0500,charge,#17708,visa,online,paid,2026-01-09,105428942884,2026-01-09,31.73,1.12,30.61,#45887904055332,card,31.73,USD,USD
2026-01-06 12:01:17 -0500,charge,#17707,visa,online,paid,2026-01-08,105403088932,2026-01-08,60.54,1.87,58.67,#45883623866404,card,60.54,USD,USD
2026-01-06 10:58:19 -0500,charge,#17706,visa,online,paid,2026-01-08,105403088932,2026-01-08,81.14,2.41,78.73,#45883463237668,card,81.14,USD,USD
2026-01-06 07:44:35 -0500,charge,#17705,american_express,online,paid,2026-01-08,105403088932,2026-01-08,32.99,1.49,31.50,#45882971324452,card,32.99,USD,USD
2026-01-05 23:36:10 -0500,charge,#17704,american_express,online,paid,2026-01-08,105403088932,2026-01-08,81.60,3.24,78.36,#45881369002020,card,81.60,USD,USD
2026-01-05 16:12:46 -0500,refund,#17691,visa,online,paid,2026-01-07,105370714148,2026-01-06,-2.04,0.00,-2.04,#45876745175076,card,2.04,USD,USD
2026-01-05 14:57:54 -0500,charge,#17703,visa,online,paid,2026-01-07,105370714148,2026-01-07,78.99,2.35,76.64,#45880563367972,card,78.99,USD,USD
2026-01-05 12:53:24 -0500,charge,#17702,master,online,paid,2026-01-07,105370714148,2026-01-07,58.34,1.82,56.52,#45880201805860,card,58.34,USD,USD
2026-01-05 12:48:27 -0500,charge,#17701,american_express,online,paid,2026-01-07,105370714148,2026-01-07,100.95,3.93,97.02,#45880189812772,card,100.95,USD,USD
2026-01-05 12:27:38 -0500,charge,#17700,master,online,paid,2026-01-07,105370714148,2026-01-07,105.59,5.61,99.98,#45880116740132,card,90.14,EUR,USD
2026-01-05 09:13:45 -0500,charge,#17696,master,online,paid,2026-01-07,105380806692,2026-01-05,78.99,2.35,76.64,#45879595171876,card,78.99,USD,USD
2026-01-05 08:29:41 -0500,charge,#17695,visa,online,paid,2026-01-07,105370714148,2026-01-07,34.34,1.19,33.15,#45879491559460,card,34.34,USD,USD
2026-01-04 22:46:22 -0500,charge,#17694,master,online,paid,2026-01-07,105370714148,2026-01-07,32.99,1.16,31.83,#45878093611044,card,32.99,USD,USD
2026-01-04 15:59:31 -0500,charge,#17691,visa,online,paid,2026-01-06,105342861348,2026-01-06,137.09,3.86,133.23,#45876745175076,card,137.09,USD,USD
2026-01-04 14:26:33 -0500,charge,#17690,american_express,online,paid,2026-01-06,105342861348,2026-01-06,134.00,5.12,128.88,#45876324991012,card,134.00,USD,USD
