Payout Date,Status,Charges,Refunds,Adjustments,Marketplace Sales Tax,Advances,Reserved Funds,Fees,Retried Amount,Total,Currency,Bank Reference
2026-01-29,in_transit,29.97,-2.15,0.00,0.00,0.00,0.00,1.08,0.00,26.74,USD,
2026-01-28,paid,60.54,0.00,0.00,0.00,0.00,0.00,1.87,0.00,58.67,USD,
2026-01-27,paid,312.44,0.00,0.00,0.00,0.00,0.00,10.36,0.00,302.08,USD,
2026-01-26,paid,59.39,0.00,0.00,0.00,0.00,0.00,2.44,0.00,56.95,USD,111000021502129
2026-01-21,paid,654.71,0.00,0.00,0.00,0.00,0.00,20.02,0.00,634.69,USD,111000024975449
2026-01-20,paid,138.73,0.00,0.00,0.00,0.00,0.00,4.21,0.00,134.52,USD,111000022951035
2026-01-16,paid,271.92,0.00,0.00,0.00,0.00,0.00,11.02,0.00,260.90,USD,091000010561832
2026-01-15,paid,247.68,-2.15,0.00,0.00,0.00,0.00,14.31,0.00,231.22,USD,111000025255786
2026-01-14,paid,128.66,0.00,0.00,0.00,0.00,0.00,3.95,0.00,124.71,USD,111000021568898
2026-01-13,paid,562.65,0.00,0.00,0.00,0.00,0.00,18.54,0.00,544.11,USD,091000015477710
2026-01-09,paid,31.73,0.00,0.00,0.00,0.00,0.00,1.12,0.00,30.61,USD,111000023764392
2026-01-08,paid,256.27,0.00,0.00,0.00,0.00,0.00,9.01,0.00,247.26,USD,
2026-01-07,paid,78.99,0.00,0.00,0.00,0.00,0.00,2.35,0.00,76.64,USD,1047447669281
2026-01-07,paid,411.20,-2.04,0.00,0.00,0.00,0.00,16.06,0.00,393.10,USD,111000027745088
2026-01-06,paid,75.77,0.00,0.00,0.00,0.00,0.00,6.35,0.00,69.42,USD,1047425888584
2026-01-06,paid,1140.67,0.00,0.00,0.00,0.00,0.00,33.69,0.00,1106.98,USD,091000016866633
2026-01-05,paid,274.48,0.00,0.00,0.00,0.00,0.00,9.54,0.00,264.94,USD,091000012740845
2026-01-02,paid,203.24,0.00,0.00,0.00,0.00,0.00,8.50,0.00,194.74,USD,091000013013389
2025-12-31,paid,155.74,0.00,0.00,0.00,0.00,0.00,4.65,0.00,151.09,USD,111000021360748
2025-12-30,paid,81.14,0.00,0.00,0.00,0.00,0.00,3.32,0.00,77.82,USD,1047267479175
2025-12-30,paid,863.25,0.00,0.00,0.00,0.00,0.00,28.99,0.00,834.26,USD,091000016742307
2025-12-29,paid,94.00,0.00,0.00,0.00,0.00,0.00,3.77,0.00,90.23,USD,1047244958083
2025-12-29,paid,581.96,0.00,0.00,0.00,0.00,0.00,17.24,0.00,564.72,USD,111000028632971
2025-12-28,paid,98.95,0.00,0.00,0.00,0.00,0.00,2.87,0.00,96.08,USD,1047223414156
2025-12-26,paid,81.14,0.00,0.00,0.00,0.00,0.00,3.32,0.00,77.82,USD,1047182890998
2025-12-24,paid,74.73,0.00,0.00,0.00,0.00,0.00,3.32,0.00,71.41,USD,111000021465073
2025-12-23,paid,664.24,0.00,0.00,0.00,0.00,0.00,20.99,0.00,643.25,USD,111000026377201
2025-12-22,paid,167.43,0.00,0.00,0.00,0.00,0.00,13.47,0.00,153.96,USD,1047100588834
2025-12-22,paid,78.11,-4.00,0.00,0.00,0.00,0.00,2.63,0.00,71.48,USD,091000013862174
2025-12-21,paid,110.15,0.00,0.00,0.00,0.00,0.00,4.33,0.00,105.82,USD,1047079672397
2025-12-19,paid,85.75,0.00,0.00,0.00,0.00,0.00,3.48,0.00,82.27,USD,1047032765235
