Payment initiation date,Payment ID,Payment amount,Payment completion date,Status,Bank account,Notes
2025/03/31,3460675210480685169,96.77,2025/04/01,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460675210480685169"
2025/03/30,3460662445959254129,8.4,2025/03/31,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460662445959254129"
2025/03/29,3460653789818687601,11.2,2025/03/31,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460653789818687601"
2025/03/29,3460644217566302321,24.92,2025/03/31,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460644217566302321"
2025/03/27,3460630068198740081,2.8,2025/03/28,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460630068198740081"
2025/03/26,3460618134610022513,49.57,2025/03/27,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460618134610022513"
2025/03/25,3460605552312160369,83.16,2025/03/26,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460605552312160369"
2025/03/22,3460569778676928625,11.2,2025/03/24,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460569778676928625"
2025/03/22,3460558960745549937,8.4,2025/03/24,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460558960745549937"
2025/03/20,3460545046716518513,39.08,2025/03/22,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460545046716518513"
2025/03/18,3460519762599841905,2.8,2025/03/19,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460519762599841905"
2025/03/16,3460499829482360945,8.43,2025/03/17,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460499829482360945"
2025/03/16,3460494128605794417,8.4,2025/03/17,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460494128605794417"
2025/03/14,3460483898325700721,61.82,2025/03/17,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460483898325700721"
2025/03/14,3460476015282131057,39.0,2025/03/14,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460476015282131057"
2025/03/13,3460466422368079985,33.32,2025/03/13,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460466422368079985"
2025/03/11,3460455777519243377,77.14,2025/03/12,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460455777519243377"
2025/03/10,3460446858276868209,9.52,2025/03/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460446858276868209"
2025/03/10,3460439558336122993,4.76,2025/03/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460439558336122993"
2025/03/09,3460433599345037425,11.9,2025/03/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460433599345037425"
2025/03/08,3460425751626616945,81.61,2025/03/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460425751626616945"
2025/03/06,3460415698879221873,95.27,2025/03/07,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3460415698879221873"
