Only reserve details after 2024/09/25 are displayed,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Statement date,Statement ID,Reserve transaction ID,Reserve amount,Status,Associated order ID,Reserve collection time,Expected release time,Payout ID,Payout completion date
2025/03/31,7487400598308914987,3460363504810627185,5.6,released,576899020822253726,2025/03/07,released,3460662445959254129,2025/03/31
2025/03/31,7487400598308914987,3460355156122570865,2.8,released,576892894097413095,2025/03/06,released,3460662445959254129,2025/03/31
2025/03/30,7487274325386512170,3460351285405388913,11.2,released,576893258073542839,2025/03/06,released,3460653789818687601,2025/03/31
2025/03/29,7486988636731262763,3460554683227869297,-1.4,collected,576916624443478166,2025/03/28,2025/04/20,3460644217566302321,2025/03/31
2025/03/28,7486533044526941995,3460333772170236017,2.8,released,576890426886230709,2025/03/04,released,3460630068198740081,2025/03/28
2025/03/27,7486189298602018603,3460526536019775601,-2.8,collected,576918557033075191,2025/03/26,2025/04/18,3460618134610022513,2025/03/27
2025/03/26,7485790705357621038,3460516021668778097,-4.2,collected,576909224627901219,2025/03/25,2025/04/17,3460605552312160369,2025/03/26
2025/03/26,7485790705357621038,3460320300688117873,2.8,released,576893352054526121,2025/03/02,released,3460605552312160369,2025/03/26
2025/03/26,7485790705357621038,3460319616528191601,5.6,released,576893007628440113,2025/03/02,released,3460605552312160369,2025/03/26
2025/03/23,7484693101462685482,3460298551672475761,2.8,released,576885996868244113,2025/02/27,released,3460569778676928625,2025/03/24
2025/03/23,7484693101462685482,3460298411239313521,5.6,released,576889672349028668,2025/02/27,released,3460569778676928625,2025/03/24
2025/03/23,7484693101462685482,3460297566089810033,2.8,released,576888232985662436,2025/02/27,released,3460569778676928625,2025/03/24
2025/03/22,7484296554661119786,3460289260635918449,2.8,released,576888679182536803,2025/02/26,released,3460558960745549937,2025/03/24
2025/03/22,7484296554661119786,3460289235653922929,5.6,released,576888314322915644,2025/02/26,released,3460558960745549937,2025/03/24
2025/03/21,7483971029187233578,3460471588242296945,-1.9,collected,576911422869246905,2025/03/20,2025/04/12,3460545046716518513,2025/03/22
2025/03/21,7483971029187233578,3460283068122828913,2.8,released,576884974829343352,2025/02/25,released,3460545046716518513,2025/03/22
