Statement date,Statement ID,Payment ID,Status,Total settlement amount,Net sales,Shipping,Fees,Adjustments,Reserve Amount,Payable amount
2025/03/31,7487400598308914987,3460662445959254129,Paid,0.0,0.0,0.0,0.0,0,8.4,8.4
2025/03/30,7487274325386512170,3460653789818687601,Paid,0.0,0.0,0.0,0.0,0,11.2,11.2
2025/03/29,7486988636731262763,3460644217566302321,Paid,26.32,28.0,0.0,-1.68,0,-1.4,24.92
2025/03/28,7486533044526941995,3460630068198740081,Paid,0.0,0.0,0.0,0.0,0,2.8,2.8
2025/03/27,7486189298602018603,3460618134610022513,Paid,52.37,56.0,0.0,-3.63,0,-2.8,49.57
2025/03/26,7485790705357621038,3460605552312160369,Paid,78.96,84.0,0.0,-5.04,0,4.2,83.16
2025/03/23,7484693101462685482,3460569778676928625,Paid,0.0,0.0,0.0,0.0,0,11.2,11.2
2025/03/22,7484296554661119786,3460558960745549937,Paid,0.0,0.0,0.0,0.0,0,8.4,8.4
2025/03/21,7483971029187233578,3460545046716518513,Paid,35.38,38.0,0.0,-2.62,0,3.7,39.08
2025/03/19,7483196121490491182,3460519762599841905,Paid,0.0,0.0,0.0,0.0,0,2.8,2.8
2025/03/17,7482510548920633130,3460499829482360945,Paid,0.0,0.0,0.0,0.0,0,8.43,8.43
2025/03/16,7482091428127328042,3460494128605794417,Paid,0.0,0.0,0.0,0.0,0,8.4,8.4
2025/03/15,7481734471583303470,3460483898325700721,Paid,52.3,56.0,0.0,-3.7,0,9.52,61.82
2025/03/14,7481366302424155950,3460476015282131057,Paid,35.72,38.0,0.0,-2.28,0,3.28,39.0
2025/03/13,7480950228506511147,3460466422368079985,Paid,26.32,28.0,0.0,-1.68,0,7.0,33.32
2025/03/12,7480615843819259691,3460455777519243377,Paid,78.96,84.0,0.0,-5.04,0,-1.82,77.14
2025/03/11,7479974510993819434,3460446858276868209,Paid,0.0,0.0,0.0,0.0,0,9.52,9.52
2025/03/10,7479905847142156078,3460439558336122993,Paid,0.0,0.0,0.0,0.0,0,4.76,4.76
2025/03/09,7479244206611892014,3460433599345037425,Paid,0.0,0.0,0.0,0.0,0,11.9,11.9
2025/03/08,7478861744916514602,3460425751626616945,Paid,78.96,84.0,0.0,-5.04,0,2.65,81.61
2025/03/07,7478734073729697582,3460415698879221873,Paid,105.28,112.0,0.0,-6.72,0,-10.01,95.27
2025/03/05,7477993656377444142,3460398006802485361,Paid,26.32,28.0,0.0,-1.68,0,0.6,26.92
2025/03/04,7477440598828468014,3460390128625356913,Paid,0.0,0.0,0.0,0.0,0,4.76,4.76
2025/03/03,7477250604490884910,3460380836774449265,Paid,78.96,84.0,0.0,-5.04,0,-0.41,78.55
2025/03/02,7476952249605424942,3460380836774449265,Paid,-0.8,0.0,0.0,-0.8,0,0.0,-0.8
2025/03/01,7476535018811180846,3460366879000924273,Paid,0.0,0.0,0.0,0.0,0,2.38,2.38
