Statement date,Statement ID,Payment ID,Status,Currency,Type,Order/adjustment ID,SKU ID,Quantity,Product name,SKU name,Order created date,Order shipment date,Order delivery date,Total settlement amount,Net sales,Gross sales,Gross sales refund,Seller discount,Seller discount refund,Shipping,TikTok Shop shipping fee,Fulfilled by TikTok Shop shipping fee,Signature confirmation service fee,Shipping insurance fee,Customer-paid shipping fee,Customer-paid shipping fee refund,TikTok Shop shipping incentive,TikTok Shop shipping incentive refund,Shipping fee subsidy,Return shipping fee,FBT fulfillment fee,Customer shipping fee offset,Shipping fee discount,Return shipping label fee,FBT fulfillment fee reimbursement,Return shipping fee (paid by customers),Return shipping fee reimbursement,Fees,Transaction fee,Referral fee,Refund administration fee,Affiliate Commission,Affiliate partner commission,Affiliate Shop Ads commission,TikTok Shop Partner commission,Co-funded promotion (seller-funded),Smart Promotion fee tax,Co-funded creator bonus,Affiliate commission deposit,Affiliate commission refund,Affiliate Partner shop ads commission,Campaign service fee,Campaign resource fee,Sales tax on referral fees,Smart Promotion fee,Adjustment amount,Adjustment reason,Related order ID  ,Unnamed: 59,Customer payment,Customer refund,Seller co-funded voucher discount,Seller co-funded voucher discount refund,Platform discounts,Platform discounts refund,Platform co-funded voucher discounts,Platform co-funded voucher discounts refund,Ads referral fee discount,Sales tax payment,Sales tax refund,Retail delivery fee payment,Retail delivery fee refund,Customer-paid shipping fee before discounts,Seller shipping fee discount,TikTok Shop shipping fee discount to customer,Mode of TikTok Shop shipping fee discount to customer,Return shipping fee (paid by customers).1,Estimated chargeable package weight,Chargeable package weight,FBT Chargeable goods weight,Collection methods,Delivery option,Signature confirmation service fee type
2025/06/27,7520295803202619191,3462232216407871601,Paid,USD,Order,577013257037647904,1731298084026880113,1,Cherri String Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear Comfort Lady,"L/XL, Cookie Dough 3 Pack",2025/06/19,2025/06/21,2025/06/22,65.8,70.0,79,0,-9.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-4.2,0,-4.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577013257037647904,,75.78,0.0,0.0,0,0.0,0.0,0.0,0,0,-5.78,0.0,0.0,0,0,0,0,/,0,91.0,0.0,/,/,/,/
2025/06/26,7519979219200476942,3462208151746809969,Paid,USD,Order,577011819585180034,1729429023533535345,1,Cherri String Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear Comfort Lady,"3X/4X, Polka Dot",2025/06/18,2025/06/18,2025/06/21,26.32,28.0,28,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577011819585180034,,30.31,0.0,0.0,0,0.0,0.0,0.0,0,0,-2.31,0.0,0.0,0,0,0,0,/,0,91.0,0.0,/,/,/,/
2025/06/26,7519979219200476942,3462208151746809969,Paid,USD,Order,577010902470464275,1729429021579579505,1,Cherri String Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear Comfort Lady,"M/L, Red Candy Apple",2025/06/17,2025/06/17,2025/06/21,22.24,23.66,28,0,-4.34,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.42,0,-1.42,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577010902470464275,,25.88,0.0,0.0,0,0.0,0.0,0.0,0,0,-2.22,0.0,0.0,0,0,0,0,/,0,91.0,0.0,/,/,/,/
2025/06/26,7519979219200476942,3462208151746809969,Paid,USD,Order,577010902470464275,1729420443135414385,2,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"M/L, Pink Guava",2025/06/17,2025/06/17,2025/06/21,44.5,47.34,56,0,-8.66,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-2.84,0,-2.84,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577010902470464275,,51.78,0.0,0.0,0,0.0,0.0,0.0,0,0,-4.44,0.0,0.0,0,0,0,0,/,0,182.0,0.0,/,/,/,/
2025/06/26,7519979219200476942,3462208151746809969,Paid,USD,Order,577009010057056413,1729421707549511793,1,Cherri Bikini Brief Panty | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"L/XL, Black Licorice",2025/06/15,2025/06/16,2025/06/21,26.32,28.0,28,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577009010057056413,,30.9,0.0,0.0,0,0.0,0.0,0.0,0,0,-2.9,0.0,0.0,0,0,0,0,/,0,400.0,0.0,/,/,/,/
2025/06/26,7519979219200476942,3462208151746809969,Paid,USD,Order,577009010057056413,1729429021580300401,1,Cherri String Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear Comfort Lady,"L/XL, Polka Dot",2025/06/15,2025/06/16,2025/06/21,26.32,28.0,28,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577009010057056413,,30.9,0.0,0.0,0,0.0,0.0,0.0,0,0,-2.9,0.0,0.0,0,0,0,0,/,0,91.0,0.0,/,/,/,/
2025/06/25,7519442936396973879,3462184350216458353,Paid,USD,Order,577011168040357965,1729429023533142129,1,Cherri String Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear Comfort Lady,"2X/3X, Blueberry",2025/06/17,2025/06/18,2025/06/20,26.32,28.0,28,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577011168040357965,,30.59,0.0,0.0,0,0.0,0.0,0.0,0,0,-2.59,0.0,0.0,0,0,0,0,/,0,91.0,0.0,/,/,/,/
2025/06/25,7519442936396973879,3462184350216458353,Paid,USD,Order,577010591526981800,1729429021579579505,1,Cherri String Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear Comfort Lady,"M/L, Red Candy Apple",2025/06/16,2025/06/17,2025/06/20,26.32,28.0,28,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577010591526981800,,30.63,0.0,0.0,0,0.0,0.0,0.0,0,0,-2.63,0.0,0.0,0,0,0,0,/,0,91.0,0.0,/,/,/,/
2025/06/25,7519442936396973879,3462184350216458353,Paid,USD,Order,577010392824451748,1729421287926698097,1,Cherri Underwear Mystery Bag,2X/3X,2025/06/16,2025/06/17,2025/06/20,75.2,80.0,80,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-4.8,0,-4.8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577010392824451748,,85.08,0.0,0.0,0,0.0,0.0,0.0,0,0,-5.08,0.0,0.0,0,0,0,0,/,0,250.0,0.0,/,/,/,/
2025/06/25,7519442936396973879,3462184350216458353,Paid,USD,Order,577010279313281070,1729429021578858609,1,Cherri String Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear Comfort Lady,"XS/S, Blueberry",2025/06/16,2025/06/17,2025/06/20,26.32,28.0,28,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577010279313281070,,29.68,0.0,0.0,0,0.0,0.0,0.0,0,0,-1.68,0.0,0.0,0,0,0,0,/,0,91.0,0.0,/,/,/,/
