Payment initiation date,Payment ID,Payment amount,Payment completion date,Status,Bank account,Notes
2025/06/29,3462306447896645745,240.87,2025/06/30,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3462306447896645745"
2025/06/28,3462286249387331697,73.81,2025/06/30,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3462286249387331697"
2025/06/27,3462259708378976369,2.8,2025/06/30,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3462259708378976369"
2025/06/26,3462232216407871601,62.3,2025/06/27,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3462232216407871601"
2025/06/25,3462208151746809969,137.95,2025/06/26,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3462208151746809969"
2025/06/24,3462184350216458353,177.04,2025/06/25,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3462184350216458353"
2025/06/23,3462160162379567217,268.02,2025/06/24,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3462160162379567217"
2025/06/22,3462133296727560305,305.97,2025/06/23,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3462133296727560305"
2025/06/22,3462116906472411249,115.68,2025/06/23,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3462116906472411249"
2025/06/20,3462085793987006577,119.97,2025/06/23,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3462085793987006577"
2025/06/19,3462059128226091121,13.5,2025/06/20,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3462059128226091121"
2025/06/18,3462036896478302321,167.6,2025/06/19,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3462036896478302321"
2025/06/17,3462011894388002929,393.58,2025/06/18,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3462011894388002929"
2025/06/17,3461991331838922865,459.95,2025/06/17,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461991331838922865"
2025/06/15,3461957280264261745,202.16,2025/06/16,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461957280264261745"
2025/06/15,3461937647098892401,36.35,2025/06/16,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461937647098892401"
2025/06/13,3461909945944084593,302.11,2025/06/16,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461909945944084593"
2025/06/12,3461879211242655857,86.52,2025/06/13,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461879211242655857"
2025/06/12,3461857286204002417,302.71,2025/06/12,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461857286204002417"
2025/06/10,3461825501252456561,124.26,2025/06/11,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461825501252456561"
2025/06/09,3461803767131574385,194.91,2025/06/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461803767131574385"
2025/06/08,3461780819311104113,73.2,2025/06/09,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461780819311104113"
2025/06/07,3461763748528033905,193.36,2025/06/10,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461763748528033905"
2025/06/07,3461745239394127985,217.68,2025/06/09,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461745239394127985"
2025/06/05,3461717910739193969,32.92,2025/06/06,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461717910739193969"
2025/06/04,3461695831244443761,23.52,2025/06/05,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461695831244443761"
2025/06/02,3461649473832587377,11.2,2025/06/03,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461649473832587377"
2025/06/01,3461626821746135153,70.16,2025/06/02,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461626821746135153"
2025/05/31,3461608957912911985,31.52,2025/06/02,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461608957912911985"
2025/05/30,3461586460771913841,151.08,2025/06/02,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461586460771913841"
2025/05/29,3461562719250518129,134.4,2025/05/30,Paid,********2420,"TikTok Shop-USLCEWELSX, payout ID 3461562719250518129"
