Statement date,Statement ID,Payment ID,Status,Total settlement amount,Net sales,Shipping,Fees,Adjustments,Reserve Amount,Payable amount
2025/06/29,7520930889847195406,3462286249387331697,Paid,78.01,84.0,0.0,-5.99,0,-4.2,73.81
2025/06/28,7520421770201990926,3462259708378976369,Paid,0.0,0.0,0.0,0.0,0,2.8,2.8
2025/06/27,7520295803202619191,3462232216407871601,Paid,65.8,70.0,0.0,-4.2,0,-3.5,62.3
2025/06/26,7519979219200476942,3462208151746809969,Paid,145.7,155.0,0.0,-9.3,0,-7.75,137.95
2025/06/25,7519442936396973879,3462184350216458353,Paid,180.14,192.0,0.0,-11.86,0,-3.1,177.04
2025/06/24,7519153859341240119,3462160162379567217,Paid,280.12,298.0,0.0,-17.88,0,-12.1,268.02
2025/06/23,7518585199266367245,3462133296727560305,Paid,305.2,331.0,0.0,-25.8,0,0.77,305.97
2025/06/22,7518461524600456973,3462116906472411249,Paid,105.28,112.0,0.0,-6.72,0,10.4,115.68
2025/06/21,7518091219449366286,3462085793987006577,Paid,105.28,112.0,0.0,-6.72,0,14.69,119.97
2025/06/20,7517743856323020599,3462059128226091121,Paid,0.0,0.0,0.0,0.0,0,13.5,13.5
2025/06/19,7517077099476469518,3462036896478302321,Paid,173.21,196.0,-9.35,-13.44,0,-5.61,167.6
2025/06/18,7516924335005665079,3462011894388002929,Paid,415.74,443.0,0.0,-27.26,0,-22.16,393.58
2025/06/17,7516553129643640590,3461991331838922865,Paid,473.76,504.0,0.0,-30.24,0,-13.81,459.95
2025/06/16,7516223573854439214,3461957280264261745,Paid,210.56,224.0,0.0,-13.44,0,-8.4,202.16
2025/06/15,7515826626807056171,3461937647098892401,Paid,26.32,28.0,0.0,-1.68,0,10.03,36.35
2025/06/14,7515452372701923118,3461909945944084593,Paid,289.52,308.0,0.0,-18.48,0,12.59,302.11
2025/06/13,7515062155465459502,3461879211242655857,Paid,78.29,84.0,0.0,-5.71,0,8.23,86.52
