Statement date,Statement ID,Payment ID,Status,Currency,Type,Order/adjustment ID,SKU ID,Quantity,Product name,SKU name,Order created date,Order shipment date,Order delivery date,Total settlement amount,Net sales,Gross sales,Gross sales refund,Seller discount,Seller discount refund,Shipping,TikTok Shop shipping fee,Fulfilled by TikTok Shop shipping fee,Signature confirmation service fee,Shipping insurance fee,Customer-paid shipping fee,Customer-paid shipping fee refund,TikTok Shop shipping incentive,TikTok Shop shipping incentive refund,Shipping fee subsidy,Return shipping fee,FBT fulfillment fee,Customer shipping fee offset,Shipping fee discount,Return shipping label fee,FBT fulfillment fee reimbursement,Return shipping fee (paid by customers),Return shipping fee reimbursement,Fees,Transaction fee,Referral fee,Refund administration fee,Affiliate Commission,Affiliate partner commission,Affiliate Shop Ads commission,TikTok Shop Partner commission,Co-funded promotion (seller-funded),Smart Promotion fee tax,Co-funded creator bonus,Affiliate commission deposit,Affiliate commission refund,Affiliate Partner shop ads commission,Campaign service fee,Campaign resource fee,Sales tax on referral fees,Smart Promotion fee,Adjustment amount,Adjustment reason,Related order ID  ,Unnamed: 59,Customer payment,Customer refund,Seller co-funded voucher discount,Seller co-funded voucher discount refund,Platform discounts,Platform discounts refund,Platform co-funded voucher discounts,Platform co-funded voucher discounts refund,Ads referral fee discount,Sales tax payment,Sales tax refund,Retail delivery fee payment,Retail delivery fee refund,Customer-paid shipping fee before discounts,Seller shipping fee discount,TikTok Shop shipping fee discount to customer,Mode of TikTok Shop shipping fee discount to customer,Return shipping fee (paid by customers).1,Estimated chargeable package weight,Chargeable package weight,FBT Chargeable goods weight,Collection methods,Delivery option,Signature confirmation service fee type
2025/09/26,7554144951622289165,3465010982018125937,Paid,USD,Order,577106638589169987,1729420443135742065,2,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"L/XL, Blueberry",2025/09/15,2025/09/16,2025/09/18,52.64,56.0,56,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-3.36,0,-3.36,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577106638589169987,,59.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3.78,0.0,0.0,0,0,0,0,/,0,182.0,0,/,/,/,/
2025/09/25,7553696783466071821,3464965645396643953,Paid,USD,Order,577107266057441293,1729421287926370417,1,Cherri Underwear Mystery Bag,XS/S,2025/09/15,2025/09/16,2025/09/17,70.5,75.0,75,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-4.5,0,-4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577107266057441293,,80.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-5.63,0.0,0.0,0,0,0,0,/,0,250.0,0,/,/,/,/
2025/09/25,7553696783466071821,3464965645396643953,Paid,USD,Order,577107266057441293,1729420443134890097,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"XS/S, Pink Guava",2025/09/15,2025/09/16,2025/09/17,26.32,28.0,28,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577107266057441293,,30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.1,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/21,7552220639571003191,3464835753123483761,Paid,USD,Order,577102432030069261,1730826630921162865,1,Cherri String Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear Comfort Lady,"L/XL, Lemonade",2025/09/11,2025/09/11,2025/09/13,26.32,28.0,28,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577102432030069261,,29.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.96,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/18,7550880169108489997,3464732736718540913,Paid,USD,Order,577096864633950531,1729420443135742065,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"L/XL, Blueberry",2025/09/05,/,/,-0.34,0.0,28,-28,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-0.34,0,0.0,-0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577096864633950531,,30.88,-30.88,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.88,2.88,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/18,7550880169108489997,3464732736718540913,Paid,USD,Order,577096675085816643,1731298150457708657,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"XS/S, Neapolitan 3 Pack",2025/09/05,2025/09/08,2025/09/10,56.4,60.0,60,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-3.6,0,-3.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577096675085816643,,57.24,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,-3.24,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/16,7550326332270380855,3464667104959238257,Paid,USD,Order,577095662693356326,1731298150457708657,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"XS/S, Neapolitan 3 Pack",2025/09/04,2025/09/05,2025/09/08,56.4,60.0,60,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-3.6,0,-3.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577095662693356326,,64.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4.35,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/16,7550326332270380855,3464667104959238257,Paid,USD,Order,577090864012234801,1729420443135152241,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"S/M, Pink Guava",2025/08/31,2025/09/02,2025/09/08,26.31,27.99,28,0,-0.01,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577090864012234801,,30.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.45,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/13,7549255810270988045,3464602066898161777,Paid,USD,Order,577071449355948426,1729429021579645041,1,Cherri String Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear Comfort Lady,"M/L, Strawberry Pink",2025/08/13,2025/08/13,2025/08/17,-0.33,0.0,0,0,0.0,0.0,-0.33,0,0,0,0,0,0,0,0,0,-0.33,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577071449355948426,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/13,7549255810270988045,3464602066898161777,Paid,USD,Order,577071449355948426,1729420443135414385,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"M/L, Pink Guava",2025/08/13,2025/08/13,2025/08/17,-0.32,0.0,0,0,0.0,0.0,-0.32,0,0,0,0,0,0,0,0,0,-0.32,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577071449355948426,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/12,7548975144727775031,3464538537580007537,Paid,USD,Order,577092993356959853,1729420443135152241,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"S/M, Pink Guava",2025/09/01,2025/09/02,2025/09/04,26.32,28.0,28,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577092993356959853,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/06,7546642140344911630,3464353147809796209,Paid,USD,Order,577080244398166997,1729420443136200817,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"2X/3X, Pink Guava",2025/08/21,2025/08/26,2025/08/29,18.8,20.0,28,0,-8.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.2,0,-1.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577080244398166997,,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.2,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/05,7546265202975835918,3464326804310954097,Paid,USD,Order,577094567527879058,1729421707549577329,1,Cherri Bikini Brief Panty | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"1X/2X, Black Licorice",2025/09/03,/,/,-0.34,0.0,28,-28,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-0.34,0,0.0,-0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577094567527879058,,29.68,-29.68,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.68,1.68,0.0,0,0,0,0,/,0,400.0,0,/,/,/,/
2025/09/05,7546265202975835918,3464326804310954097,Paid,USD,Order,577084663111390087,1731298150457970801,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"1X/2X, Neapolitan 3 Pack",2025/08/25,2025/08/26,2025/08/28,56.39,59.99,60,0,-0.01,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-3.6,0,-3.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577084663111390087,,63.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3.6,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/05,7546265202975835918,3464326804310954097,Paid,USD,Order,577083330523665022,1729420443135742065,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"L/XL, Blueberry",2025/08/24,2025/08/25,2025/08/28,26.31,27.99,28,0,-0.01,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577083330523665022,,30.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.37,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/05,7546265202975835918,3464326804310954097,Paid,USD,Order,577081238819868717,1729420443135742065,2,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"L/XL, Blueberry",2025/08/22,2025/08/26,2025/08/28,52.62,55.98,56,0,-0.02,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-3.36,0,-3.36,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577081238819868717,,55.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,/,0,182.0,0,/,/,/,/
2025/09/04,7545893200326608695,3464294650879578225,Paid,USD,Order,577083728328037187,1729420443135217777,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"S/M, Blueberry",2025/08/24,2025/08/25,2025/08/27,26.31,27.99,28,0,-0.01,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577083728328037187,,29.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.68,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/04,7545893200326608695,3464294650879578225,Paid,USD,Order,577083271495324536,1731298150457970801,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"1X/2X, Neapolitan 3 Pack",2025/08/24,2025/08/25,2025/08/27,56.39,59.99,60,0,-0.01,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-3.6,0,-3.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577083271495324536,,63.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3.6,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/04,7545893200326608695,3464294650879578225,Paid,USD,Order,577083083031745362,1729420443134890097,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"XS/S, Pink Guava",2025/08/23,2025/08/25,2025/08/27,26.31,27.99,28,0,-0.01,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577083083031745362,,27.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/04,7545893200326608695,3464294650879578225,Paid,USD,Order,577083082027930450,1729420443134955633,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"XS/S, Blueberry",2025/08/23,2025/08/25,2025/08/27,26.31,27.99,28,0,-0.01,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577083082027930450,,27.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
2025/09/04,7545893200326608695,3464294650879578225,Paid,USD,Order,577082460978451188,1729420443135152241,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"S/M, Pink Guava",2025/08/23,2025/08/25,2025/08/27,26.31,27.99,28,0,-0.01,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,-1.68,0,-1.68,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,577082460978451188,,29.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.68,0.0,0.0,0,0,0,0,/,0,91.0,0,/,/,/,/
