Statement date,Statement ID,Payment ID,Status,Currency,Type,Order/adjustment ID,SKU ID,Quantity,Product name,SKU name,Order created date,Order shipment date,Order delivery date,Total settlement amount,Net sales,Gross sales,Gross sales refund,Seller discount,Seller discount refund,Shipping,TikTok Shop shipping fee,Fulfilled by TikTok Shop shipping fee,Signature confirmation service fee,Shipping insurance fee,Customer-paid shipping fee,Customer-paid shipping fee refund,TikTok Shop shipping incentive,TikTok Shop shipping incentive refund,Shipping fee subsidy,Return shipping fee,FBT fulfillment fee,Customer shipping fee offset,Shipping fee discount,Return shipping label fee,FBT fulfillment fee reimbursement,Return shipping fee (paid by customers),Return shipping fee reimbursement,Fees,Transaction fee,Referral fee,Refund administration fee,Affiliate Commission,Affiliate partner commission,Affiliate Shop Ads commission,TikTok Shop Partner commission,Co-funded promotion (seller-funded),Smart Promotion fee tax,Co-funded creator bonus,Affiliate commission deposit,Affiliate commission refund,Affiliate Partner shop ads commission,Campaign service fee,Campaign resource fee,Sales tax on referral fees,Smart Promotion fee,Adjustment amount,Adjustment reason,Related order ID  ,Unnamed: 59,Customer payment,Customer refund,Seller co-funded voucher discount,Seller co-funded voucher discount refund,Platform discounts,Platform discounts refund,Platform co-funded voucher discounts,Platform co-funded voucher discounts refund,Ads referral fee discount,Sales tax payment,Sales tax refund,Retail delivery fee payment,Retail delivery fee refund,Customer-paid shipping fee before discounts,Seller shipping fee discount,TikTok Shop shipping fee discount to customer,Mode of TikTok Shop shipping fee discount to customer,Return shipping fee (paid by customers).1,Estimated chargeable package weight,Chargeable package weight,FBT Chargeable goods weight,Collection methods,Delivery option,Signature confirmation service fee type
2025/12/27,7588189993496004365,3468574218971943025,Paid,USD,Order,577233584364556975,1731803116475420785,2,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"L/XL, Candy Apple Red",2025/12/20,2025/12/20,2025/12/22,36.83,39.18,56.0,0.0,-16.82,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,-2.35,0,-2.35,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,/,577233584364556975,,42.7,0.0,0,0,0.0,0.0,0,0,0,-3.52,0.0,0.0,0,0.0,0.0,0,/,0,182.0,0.0,/,/,/,/
2025/12/27,7588189993496004365,3468574218971943025,Paid,USD,Order,577218592839733559,1731803116475158641,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"S/M, Candy Apple Red",2025/12/09,2025/12/17,2025/12/22,18.41,19.59,28.0,0.0,-8.41,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,-1.18,0,-1.18,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,/,577218592839733559,,21.21,0.0,0,0,0.0,0.0,0,0,0,-1.62,0.0,0.0,0,0.0,0.0,0,/,0,91.0,0.0,/,/,/,/
2025/12/27,7588189993496004365,3468574218971943025,Paid,USD,Order,577215970578829858,1731803116475355249,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"2X/3X, Candy Apple Red",2025/12/07,2025/12/17,2025/12/22,18.02,19.38,28.0,0.0,-8.62,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,-1.36,0,-1.16,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,/,577215970578829858,,14.81,0.0,0,0,5.7,0.0,0,0,0,-1.13,0.0,0.0,0,0.0,0.0,0,/,0,91.0,0.0,/,/,/,/
2025/12/27,7588189993496004365,3468574218971943025,Paid,USD,Order,577215970578829858,1731803116475224177,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"1X/2X, Candy Apple Red",2025/12/07,2025/12/17,2025/12/22,13.41,14.27,28.0,0.0,-13.73,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,-0.86,0,-0.86,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,/,577215970578829858,,10.91,0.0,0,0,4.2,0.0,0,0,0,-0.84,0.0,0.0,0,0.0,0.0,0,/,0,91.0,0.0,/,/,/,/
2025/12/27,7588189993496004365,3468574218971943025,Paid,USD,Order,577215970578829858,1729385494227292273,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"2X/3X, Black Licorice",2025/12/07,2025/12/17,2025/12/22,16.13,17.34,28.0,0.0,-10.66,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,-1.21,0,-1.04,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.17,0,0,0,0,/,577215970578829858,,13.25,0.0,0,0,5.1,0.0,0,0,0,-1.01,0.0,0.0,0,0.0,0.0,0,/,0,91.0,0.0,/,/,/,/
2025/12/26,7587877371018004279,3468523357509488753,Paid,USD,Order,577226996120719471,1731803116475420785,2,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"L/XL, Candy Apple Red",2025/12/14,2025/12/19,2025/12/21,36.83,39.18,56.0,0.0,-16.82,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,-2.35,0,-2.35,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,/,577226996120719471,,39.18,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,/,0,182.0,0.0,/,/,/,/
2025/12/26,7587877371018004279,3468523357509488753,Paid,USD,Order,577226600546538329,1731803116475486321,2,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"M/L, Candy Apple Red",2025/12/14,2025/12/18,2025/12/21,29.46,31.34,56.0,0.0,-24.66,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,-1.88,0,-1.88,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,/,577226600546538329,,31.34,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,/,0,182.0,0.0,/,/,/,/
2025/12/26,7587877371018004279,3468523357509488753,Paid,USD,Order,577219105959350755,1731803116475486321,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"M/L, Candy Apple Red",2025/12/09,2025/12/18,2025/12/21,18.41,19.59,28.0,0.0,-8.41,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,-1.18,0,-1.18,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,/,577219105959350755,,21.26,0.0,0,0,0.0,0.0,0,0,0,-1.67,0.0,0.0,0,0.0,0.0,0,/,0,91.0,0.0,/,/,/,/
2025/12/25,7587458027469489933,3468488440296935537,Paid,USD,Order,577227247562362951,1731803116475420785,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"L/XL, Candy Apple Red",2025/12/14,2025/12/18,2025/12/20,18.41,19.59,28.0,0.0,-8.41,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,-1.18,0,-1.18,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,/,577227247562362951,,19.59,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,/,0,91.0,0.0,/,/,/,/
2025/12/25,7587458027469489933,3468488440296935537,Paid,USD,Order,577224399228867424,1731803116475158641,1,Cherri Mid-Rise Thong | Wide Gusset Lip-Slip Free Underwear | Stretchy Breathable Organic Cotton Panties Womenswear,"S/M, Candy Apple Red",2025/12/13,2025/12/18,2025/12/20,18.41,19.59,28.0,0.0,-8.41,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,-1.18,0,-1.18,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,/,577224399228867424,,20.96,0.0,0,0,0.0,0.0,0,0,0,-1.37,0.0,0.0,0,0.0,0.0,0,/,0,91.0,0.0,/,/,/,/
