Date,Description,Amount
2024-01-01,TIKTOK ADS,1326.60
2024-01-03,MANUAL PAYMENT,-6452.32
2024-01-04,FACEBK QXA6CXPMN2,1395.37
2024-01-06,"CASHBACK-REWARD - December 1-31,2023",-194.24
2024-01-07,KLAVIYO INC. SOFTWARE,275.31
2024-01-09,FACEBK *PFDDCX3NN2,900.00
2024-01-14,FACEBK *R8W5KYFMN2,900.00
2024-01-19,FACEBK *R7SB7YTMN2,900.00
2024-01-23,FACEBK *NER7TX3NN2,900.00
2024-01-27,FACEBK *GUMVYYXMN2,900.00
2024-01-31,FACEBK *ETVU8YPMN2,900.00
2024-02-07,KLAVIYO INC. SOFTWARE,275.31
2024-02-09,MANUAL PAYMENT,-8203.04
2024-02-09,"CASHBACK-REWARD - January 1-31,2024",-251.92
2024-02-12,FACEBK FMS7KZFMN2,900.00
2024-02-16,FACEBK *Y5SETYPMN2,900.00
2024-02-20,FACEBK *APHFBZTMN2,900.00
2024-02-24,FACEBK *R76GKZ3MN2,900.00
2024-02-27,FACEBK *DXPGZ2CMN2,447.02
2024-02-27,FACEBK *CXQ552GMN2,230.76
2024-03-02,FACEBK *LWSP92GMN2,900.00
2024-03-06,FACEBK *6TZNDZ3NN2,900.00
2024-03-07,FACEBK *Y5SETYPMN2,-54.30
2024-03-07,KLAVIYO INC. SOFTWARE,275.31
2024-03-09,FACEBK *R2Y5F3CMN2,900.00
2024-03-13,FACEBK *A9Y762UMN2,900.00
2024-03-27,FACEBK VCRX424NN2,262.86
2024-03-29,AUTOMATIC PAYMENT,-4246.87
2024-03-29,"CASHBACK-REWARD - February 1-29,2024",-136.59
2024-03-31,FACEBK 49TPD2QMN2,900.00
2024-04-01,TIKTOK ADS,2870.96
2024-04-07,KLAVIYO INC. SOFTWARE,275.31
2024-04-26,AUTOMATIC PAYMENT,-4901.58
2024-04-27,FACEBK* 7UMMT3UMN2,150.11
2024-04-27,FACEBK *PHD6M38MN2,34.02
2024-05-01,"CASHBACK-REWARD - April 1-30,2024",-151.15
2024-05-01,TIKTOK ADS,3235.77
2024-05-03,FACEBK *NM84G5CMN2,900.00
